experiment,W,freq_emb_dim,seasonality_emb_dim,gru_zero,u_b_o_mean,u_b_o_std,u_t_o_mean,u_t_o_std
A_vary_W,16,3,3,0,0.042700085788965225,0.00020022464741487056,0.042631492018699646,0.00010886562813539058
A_vary_W,32,3,3,0,0.08013579994440079,0.0004126082931179553,0.0798158198595047,0.00047312985407188535
A_vary_W,64,3,3,0,0.1449223905801773,0.0004670394118875265,0.14515425264835358,0.0005901831318624318
A_vary_W,128,3,3,0,0.2505565583705902,0.0031297001987695694,0.2489919513463974,0.0019063543295487761
A_vary_W,192,3,3,0,0.33162921667099,0.0003964907955378294,0.3336113393306732,0.006879215594381094
B_vary_freq_emb,16,3,0,0,0.04256126284599304,0.0002550817735027522,0.042506616562604904,7.203133282018825e-05
B_vary_freq_emb,16,16,0,0,0.042514950037002563,0.00019878288730978966,0.042426157742738724,0.0003126473748125136
B_vary_freq_emb,16,64,0,0,0.04121501371264458,0.0003599303890950978,0.04098482429981232,0.0002408354339422658
B_vary_freq_emb,16,192,0,0,0.03642912581562996,0.00030612884438596666,0.035838957875967026,0.0001987938303500414
C_gru_zero,16,3,3,1,0.04282182827591896,0.0002639858576003462,0.04275098443031311,0.00012264572433196008
