seed,init_scheme,stage,feature_dim,u_b_per_slice,effective_rank
42,ortho_skip_proj_orthogonal_images,h_after_residual,384,0.017519041895866394,6.727312088012695
42,ortho_skip_proj_orthogonal_images,skip_out,384,0.041641756892204285,15.990434646606445
42,ortho_skip_proj_orthogonal_images,pre_norm,384,0.030301813036203384,11.6358962059021
42,ortho_skip_proj_orthogonal_images,encoder_out,384,0.030229683965444565,11.608198642730713
43,ortho_skip_proj_orthogonal_images,input_concat,22,0.7265406250953674,15.983893752098083
43,ortho_skip_proj_orthogonal_images,proj_out,384,0.04162471741437912,15.983891487121582
43,ortho_skip_proj_orthogonal_images,mlp_pre_silu,384,0.007273973431438208,2.7932057976722717
43,ortho_skip_proj_orthogonal_images,mlp_post_silu,384,0.007276342250406742,2.794115424156189
43,ortho_skip_proj_orthogonal_images,mlp_out,384,0.0029122410342097282,1.1183005571365356
43,ortho_skip_proj_orthogonal_images,h_after_residual,384,0.0179804265499115,6.904483795166016
43,ortho_skip_proj_orthogonal_images,skip_out,384,0.04162471741437912,15.983891487121582
43,ortho_skip_proj_orthogonal_images,pre_norm,384,0.030750220641493797,11.808084726333618
43,ortho_skip_proj_orthogonal_images,encoder_out,384,0.03069763071835041,11.787890195846558
44,ortho_skip_proj_orthogonal_images,input_concat,22,0.7268673777580261,15.991082310676575
44,ortho_skip_proj_orthogonal_images,proj_out,384,0.04164344444870949,15.991082668304443
44,ortho_skip_proj_orthogonal_images,mlp_pre_silu,384,0.007795295212417841,2.993393361568451
44,ortho_skip_proj_orthogonal_images,mlp_post_silu,384,0.0077918777242302895,2.992081046104431
44,ortho_skip_proj_orthogonal_images,mlp_out,384,0.002931771334260702,1.1258001923561096
44,ortho_skip_proj_orthogonal_images,h_after_residual,384,0.019304927438497543,7.413092136383057
44,ortho_skip_proj_orthogonal_images,skip_out,384,0.04164344444870949,15.991082668304443
44,ortho_skip_proj_orthogonal_images,pre_norm,384,0.03246528282761574,12.466668605804443
44,ortho_skip_proj_orthogonal_images,encoder_out,384,0.03244176134467125,12.45763635635376
42,ortho_all_three_subspaces,input_concat,22,0.7268379926681519,15.99043583869934
42,ortho_all_three_subspaces,proj_out,384,0.041641756892204285,15.990434646606445
42,ortho_all_three_subspaces,mlp_pre_silu,384,0.007857383228838444,3.0172351598739624
42,ortho_all_three_subspaces,mlp_post_silu,384,0.007845110259950161,3.012522339820862
42,ortho_all_three_subspaces,mlp_out,384,0.007403786759823561,2.8430541157722473
42,ortho_all_three_subspaces,h_after_residual,384,0.041817545890808105,16.057937622070312
42,ortho_all_three_subspaces,skip_out,384,0.041641756892204285,15.990434646606445
42,ortho_all_three_subspaces,pre_norm,384,0.04173051938414574,16.024519443511963
42,ortho_all_three_subspaces,encoder_out,384,0.04172762855887413,16.023409366607666
43,ortho_all_three_subspaces,input_concat,22,0.7265406250953674,15.983893752098083
43,ortho_all_three_subspaces,proj_out,384,0.04162471741437912,15.983891487121582
43,ortho_all_three_subspaces,mlp_pre_silu,384,0.0070313094183802605,2.70002281665802
43,ortho_all_three_subspaces,mlp_post_silu,384,0.007036127150058746,2.7018728256225586
43,ortho_all_three_subspaces,mlp_out,384,0.007156827487051487,2.748221755027771
43,ortho_all_three_subspaces,h_after_residual,384,0.04181273281574249,16.056089401245117
43,ortho_all_three_subspaces,skip_out,384,0.04162471741437912,15.983891487121582
43,ortho_all_three_subspaces,pre_norm,384,0.04171972721815109,16.02037525177002
43,ortho_all_three_subspaces,encoder_out,384,0.04171799495816231,16.019710063934326
44,ortho_all_three_subspaces,input_concat,22,0.7268673777580261,15.991082310676575
44,ortho_all_three_subspaces,proj_out,384,0.04164344444870949,15.991082668304443
44,ortho_all_three_subspaces,mlp_pre_silu,384,0.007560501806437969,2.90323269367218
44,ortho_all_three_subspaces,mlp_post_silu,384,0.007558599580079317,2.9025022387504578
44,ortho_all_three_subspaces,mlp_out,384,0.01311157364398241,5.034844279289246
44,ortho_all_three_subspaces,h_after_residual,384,0.04173450171947479,16.02604866027832
44,ortho_all_three_subspaces,skip_out,384,0.04164344444870949,15.991082668304443
44,ortho_all_three_subspaces,pre_norm,384,0.04168923944234848,16.008667945861816
44,ortho_all_three_subspaces,encoder_out,384,0.04168809950351715,16.008230209350586
42,ortho_skip_proj_only_random_mlp,input_concat,22,0.7268379926681519,15.99043583869934
42,ortho_skip_proj_only_random_mlp,proj_out,384,0.041641756892204285,15.990434646606445
42,ortho_skip_proj_only_random_mlp,mlp_pre_silu,384,0.008009707555174828,3.075727701187134
42,ortho_skip_proj_only_random_mlp,mlp_post_silu,384,0.00799359567463398,3.0695407390594482
42,ortho_skip_proj_only_random_mlp,mlp_out,384,0.0028825057670474052,1.1068822145462036
42,ortho_skip_proj_only_random_mlp,h_after_residual,384,0.017519041895866394,6.727312088012695
42,ortho_skip_proj_only_random_mlp,skip_out,384,0.041641756892204285,15.990434646606445
42,ortho_skip_proj_only_random_mlp,pre_norm,384,0.030301813036203384,11.6358962059021
42,ortho_skip_proj_only_random_mlp,encoder_out,384,0.030229683965444565,11.608198642730713
43,ortho_skip_proj_only_random_mlp,input_concat,22,0.7265406250953674,15.983893752098083
43,ortho_skip_proj_only_random_mlp,proj_out,384,0.04162471741437912,15.983891487121582
43,ortho_skip_proj_only_random_mlp,mlp_pre_silu,384,0.007273973431438208,2.7932057976722717
43,ortho_skip_proj_only_random_mlp,mlp_post_silu,384,0.007276342250406742,2.794115424156189
43,ortho_skip_proj_only_random_mlp,mlp_out,384,0.0029122410342097282,1.1183005571365356
43,ortho_skip_proj_only_random_mlp,h_after_residual,384,0.0179804265499115,6.904483795166016
43,ortho_skip_proj_only_random_mlp,skip_out,384,0.04162471741437912,15.983891487121582
43,ortho_skip_proj_only_random_mlp,pre_norm,384,0.030750220641493797,11.808084726333618
43,ortho_skip_proj_only_random_mlp,encoder_out,384,0.03069763071835041,11.787890195846558
44,ortho_skip_proj_only_random_mlp,input_concat,22,0.7268673777580261,15.991082310676575
44,ortho_skip_proj_only_random_mlp,proj_out,384,0.04164344444870949,15.991082668304443
44,ortho_skip_proj_only_random_mlp,mlp_pre_silu,384,0.007795295212417841,2.993393361568451
44,ortho_skip_proj_only_random_mlp,mlp_post_silu,384,0.0077918777242302895,2.992081046104431
44,ortho_skip_proj_only_random_mlp,mlp_out,384,0.002931771334260702,1.1258001923561096
44,ortho_skip_proj_only_random_mlp,h_after_residual,384,0.019304927438497543,7.413092136383057
44,ortho_skip_proj_only_random_mlp,skip_out,384,0.04164344444870949,15.991082668304443
44,ortho_skip_proj_only_random_mlp,pre_norm,384,0.03246528282761574,12.466668605804443
44,ortho_skip_proj_only_random_mlp,encoder_out,384,0.03244176134467125,12.45763635635376
