setup,B,seed,u_b_per_slice,u_b_global_pooled,u_t_per_slice
isotropic_synthetic,32,42,0.9755012392997742,1.0,0.9968257546424866
isotropic_synthetic,32,43,0.9743091464042664,0.9999929666519165,0.9959747195243835
isotropic_synthetic,32,44,0.9748157858848572,1.0,0.9962268471717834
isotropic_synthetic,64,42,0.9880512952804565,0.9998403787612915,0.9972673058509827
isotropic_synthetic,64,43,0.9869775772094727,0.9999099969863892,0.9955933690071106
isotropic_synthetic,64,44,0.9871692657470703,0.9999825954437256,0.996808648109436
isotropic_synthetic,128,42,0.9947655200958252,0.9998713731765747,0.9969502091407776
isotropic_synthetic,128,43,0.9933976531028748,0.9999103546142578,0.9960806369781494
isotropic_synthetic,128,44,0.9940080046653748,0.9999886751174927,0.9970150589942932
isotropic_synthetic,256,42,0.9973894953727722,0.9999524354934692,0.9971790909767151
isotropic_synthetic,256,43,0.9976049065589905,0.9999793767929077,0.9961848855018616
isotropic_synthetic,256,44,0.9974215626716614,0.9999868869781494,0.9971650838851929
encoder_init,32,42,0.04275894537568092,0.042541760951280594,0.042477551847696304
encoder_init,32,43,0.04291052371263504,0.042710185050964355,0.04271042346954346
encoder_init,32,44,0.04243078827857971,0.04251762107014656,0.042706508189439774
encoder_init,64,42,0.04246743768453598,0.04254702851176262,0.04253258928656578
encoder_init,64,43,0.04279516264796257,0.042680323123931885,0.04266119748353958
encoder_init,64,44,0.04252110794186592,0.042516954243183136,0.04261498525738716
encoder_init,128,42,0.04252764955163002,0.042527198791503906,0.04252893477678299
encoder_init,128,43,0.042655713856220245,0.0426405593752861,0.042634811252355576
encoder_init,128,44,0.04241052642464638,0.04250254109501839,0.042552731931209564
encoder_init,256,42,0.042489223182201385,0.042491838335990906,0.04249522462487221
