name,u_t_o_mean,u_t_o_std,u_b_o_mean,u_b_o_std,u_t_f_mean,u_t_f_std,u_b_f_mean,u_b_f_std
default,0.042631492018699646,0.00010886562813539058,0.042700085788965225,0.00020022464741487056,0.003179234452545643,3.300476600998081e-05,0.009737726300954819,0.0013522913213819265
ortho_patch,0.04341840371489525,6.55456751701422e-05,0.04346948489546776,0.00016112449520733207,0.0032162044662982225,1.8242722944705747e-05,0.010124105028808117,0.0009072222746908665
ortho_all,0.04341840371489525,6.55456751701422e-05,0.04346948489546776,0.00016112449520733207,0.0030880591366440058,1.661009264353197e-05,0.010305937379598618,0.0005749716656282544
xavier_small_patch,0.010654737241566181,7.381865725619718e-05,0.010682974010705948,7.410264515783638e-05,0.002982319565489888,1.9171618987456895e-05,0.0036113066598773003,0.0001881045027403161
gpt_scaled,0.01676078327000141,0.0008078291430138052,0.016819864511489868,0.0008284550276584923,0.0029846143443137407,1.7801376088755205e-05,0.004226405639201403,0.00027955009136348963
skip_zero,0.0026980943512171507,1.646897908358369e-05,0.0026982545386999846,1.6620442693238147e-05,0.002965047722682357,4.8410696763312444e-05,0.0026312575209885836,1.1156652135468903e-06
skip_smallgain,0.0028559311758726835,1.2932370736962184e-05,0.002855922095477581,1.2993925338378176e-05,0.0029194895178079605,3.4948687243741006e-05,0.00266338512301445,1.159598286903929e-05
proj_smallgain,0.04275386035442352,0.00011570296192076057,0.04282541200518608,0.0002631182433106005,0.003178780199959874,2.6168718250119127e-05,0.009796314872801304,0.0011379183270037174
