seed,encoder_type,u_b_per_slice,effective_rank
42,mlp,0.042081862688064575,16.159435272216797
43,mlp,0.04066068306565285,15.613702297210693
44,mlp,0.03954118862748146,15.18381643295288
42,mlp_wide,0.04318363964557648,16.582517623901367
43,mlp_wide,0.04286222904920578,16.45909595489502
44,mlp_wide,0.04309216886758804,16.54739284515381
42,residual_silu,0.0425165630877018,16.32636022567749
43,residual_silu,0.04261505603790283,16.364181518554688
44,residual_silu,0.04268038272857666,16.389266967773438
42,gru,0.042489223182201385,16.315861701965332
43,gru,0.042597174644470215,16.357315063476562
44,gru,0.04248799756169319,16.315391063690186
42,conv,0.042079392820596695,16.15848684310913
43,conv,0.042173415422439575,16.194591522216797
44,conv,0.04263288900256157,16.371029376983643
