dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/10T/medium,contrastive_tiny,3560.9094276505034,3560.9094276505034,19.178565545587546,0.8038516978160125,2.750504085576796,0.7328953620660016,32.1540679126405,59.67335609508236,0.3662143662199568,0.11769852888941239,0.1176985288894124,Nature,21
jena_weather/10T/long,contrastive_tiny,2640.6564688550325,2640.6564688550325,13.983437308628028,0.771947354187109,0.9864774549803678,0.7324851612585664,30.877894167484357,51.38731817146165,0.3144478113500312,0.0855670506520108,0.08556705065201081,Nature,21
jena_weather/D/short,contrastive_tiny,462.5648842196493,462.5648842196493,11.318252685933377,1.3616507392810278,1.356356259122831,0.4640407405606725,54.46602957124111,21.507321642167565,0.1295092283731284,0.06815437999557394,0.06815437999557396,Nature,21
jena_weather/H/short,contrastive_tiny,2853.064274160111,2853.064274160111,18.442475627416496,0.7740994227892918,6.782539520716783,0.684610579108807,30.963976911571667,53.41408310698697,0.32742489081772785,0.11305118832837492,0.11305118832837494,Nature,21
jena_weather/H/medium,contrastive_tiny,2111.461005377609,2111.461005377609,15.743788108523416,0.8684574970223994,7.5111602893424125,0.6884790414949745,34.73829988089598,45.95063661558574,0.2811800949383715,0.09633903164559644,0.09633903164559646,Nature,21
jena_weather/H/long,contrastive_tiny,1959.9576697542361,1959.9576697542361,17.53028494231111,1.2751338035349602,6.486843312647952,0.7163102485636237,51.0053521413984,44.271409168381304,0.26656293262438985,0.10555173760543046,0.10555173760543043,Nature,21
kdd_cup_2018/D/short,contrastive_tiny,2682.022416272915,2682.022416272915,20.43210880947332,1.1782340251154755,0.5524433553172812,0.453611997206246,47.129361004619014,51.78824592774807,1.1601117174700155,0.4577009400079334,0.45770094000793343,Nature,1
kdd_cup_2018/H/short,contrastive_tiny,5132.665845364522,5132.665845364522,30.444295864593435,1.2510094177352544,1.6135476850471118,0.6034190865921201,50.040376709410175,71.64262589663029,1.4996099022480252,0.6372542459762112,0.6372542459762112,Nature,1
kdd_cup_2018/H/medium,contrastive_tiny,5490.882601225522,5490.882601225522,30.490033009790782,1.4163223386952353,1.7135035070249398,0.6443606895341406,56.652893547809406,74.10048988519254,1.551057442180369,0.6382116054216721,0.638211605421672,Nature,1
kdd_cup_2018/H/long,contrastive_tiny,4287.516485530671,4287.516485530671,26.885311309018096,1.211251803618111,1.3142926553403247,0.7164785792686897,48.45007214472444,65.47913015252013,1.5364049546255032,0.6308380304626677,0.6308380304626677,Nature,1
m4_daily/D/short,contrastive_tiny,552907.307851659,552907.307851659,264.43845038613995,4.952437869271654,0.06760695884744106,0.044444947848147724,198.09751477086624,743.5773717991013,0.11486215424119871,0.04084843249340133,0.04084843249340134,Econ/Fin,1
m4_hourly/H/short,contrastive_tiny,111373471.35111219,111373471.35111219,1725.2451296888785,16.08837036556911,1.0540262092155128,0.4474298881667285,643.5348146227643,10553.363035123552,1.4407669956925693,0.2355340410504491,0.23553404105044903,Econ/Fin,1
m4_monthly/M/short,contrastive_tiny,2527100.6429293985,2527100.6429293985,758.3564383860804,1.5061703753161952,0.21784388958974318,0.17518392083668452,60.246815012647794,1589.6857057070742,0.3303912625750605,0.15761250180510333,0.15761250180510333,Econ/Fin,1
