dataset,sn_mase,sn_wql,mase_v2,wql_v2,mase_v3b,wql_v3b,mase_mix90,wql_mix90,mase_fe_mu,wql_fe_mu,mase_fe_mu_qh,wql_fe_mu_qh,mase_RevIN_qh,wql_RevIN_qh
electricity/15T/short,1.7170601415661315,0.1857150767951029,2.8546279712234437,0.3243776611189771,2.900403142575685,0.3323006714584801,2.824180426760271,0.3158590331076715,2.676984089284647,0.3063137247867995,2.7354259893616772,0.2916302915334316,2.0622628204460307,0.1839472917203507
electricity/15T/medium,1.1507882040712938,0.1219647631109534,2.966612330669379,0.3290533178082858,3.1749327061406087,0.3412467308531621,2.9971508694940567,0.3299608695335265,2.495199361012832,0.2863446403418634,2.4849922662731214,0.262252542101685,1.767751027211724,0.1543748699951924
electricity/15T/long,1.1635317074801097,0.1164791550267744,3.1533566558949246,0.3596594360665561,3.246528899998774,0.3664927687781473,3.102185418413654,0.3572771934825198,2.6566254971545753,0.3023036692614321,2.652265873891378,0.2768268054654471,2.012801257086093,0.1691329663202573
electricity/D/short,1.9870413998189072,0.1144469298331132,1.7748439092830095,0.0997788545842771,1.8059412539871684,0.0995490445250269,1.8689184003241837,0.1083110246376914,1.853040794066568,0.1053066802464976,1.8430959440923265,0.0899703188763169,2.0831776112131193,0.0948913458038822
electricity/H/short,1.357772605104654,0.1169311142820184,1.8106971503096825,0.1699560736222084,2.0210037886623633,0.1799601315271571,1.9709774292870277,0.175571991350796,1.872790462968008,0.1657733398820131,1.9853702834276243,0.1533664762840622,1.977877062196704,0.139656416508476
electricity/H/medium,1.3924537850959529,0.1203012084075666,1.803479093618634,0.1919833205232981,1.837397261152648,0.1817522129894799,1.862174937256559,0.1908420791843074,1.810089795882739,0.186092862030752,1.8437993529241263,0.1662940447101601,1.7936992350934275,0.1394798633103588
electricity/H/long,1.5240786163583666,0.1408821087231206,1.996730868610072,0.2224795374139464,2.020223430863372,0.2099209349947529,2.04797183598048,0.220393678768669,1.984224641988044,0.2132803050874002,2.0247102340877565,0.1920501859258321,1.8500534660672576,0.1512056661619039
electricity/W/short,2.0896995065206867,0.1291533058152976,2.109532493719783,0.1326059415807473,2.124320709147605,0.1222862551624213,2.3102090806732236,0.157939011402293,2.223144863946617,0.1340064472722012,2.3409913143044614,0.1071501294906158,3.209075642805274,0.1596111471737914
hierarchical_sales/D/short,1.134803399686105,1.058275945161004,0.8980054340017771,0.8340408777256731,0.8444089277722288,0.7939647553020239,0.9179351353476682,0.870000572635393,0.8806618320763331,0.8354685244173173,0.8620220904935002,0.6909875005419263,0.8240324225892482,0.6557417457650331
hierarchical_sales/W/short,1.0250133777288335,0.6229649713667368,0.9273124113709122,0.5807873214972623,0.8758263962659163,0.5112210651152036,1.059482433648097,0.7077586795796229,0.9253414186244492,0.5560529502049472,0.9298966772537934,0.4614460712305844,0.8896823805225071,0.4418096631876688
kdd_cup_2018/D/short,1.4970343741212149,0.5350407223591718,1.2238271929524804,0.4805589668690058,1.3106508895320863,0.5109362898856296,1.2716700920271964,0.4860754881057726,1.249179851054213,0.4776269941060854,1.280476427046808,0.4251969054679742,1.5801728360935807,0.5281137229763915
kdd_cup_2018/H/short,1.340425278488217,0.6748326426831273,1.1214946892083173,0.56929242584326,1.1174172804125069,0.5629397533307601,1.1478938273956871,0.579918939461596,1.1363688993756884,0.5790687995427785,1.1228992823568251,0.5240047144075141,1.0282053925601016,0.472278407353707
kdd_cup_2018/H/medium,1.4289997073647829,0.6556120662619157,1.4304050319875907,0.6349908001372525,1.3112984122938562,0.6052339757266031,1.3414274080800206,0.6126560404156509,1.2827893601770055,0.5991147165051335,1.2639334555713162,0.5506523465582425,1.108466691785971,0.523755454847231
kdd_cup_2018/H/long,1.3355336656461645,0.6946162991573555,1.2034839510197846,0.6250461737183514,1.1971182273922434,0.6276382332347906,1.1803323799666554,0.6159920186872225,1.1776149164090506,0.615285218038914,1.1841160313582602,0.5744986615740894,1.0796176288029458,0.5532051744688873
saugeen/D/short,3.4130492934385144,0.4979189402578061,4.128019040828497,0.6024161517420735,4.151368751330244,0.605817700768505,4.719403566960937,0.6890692347454973,4.443162453526267,0.6486568676469079,4.498377448947309,0.6044525122756123,3.864822895334518,0.4952459200829487
saugeen/M/short,0.9763741710619728,0.5002700428910908,0.9645859797773528,0.4944909083376229,1.1391760087349108,0.5841300024467139,1.5049462144755366,0.7714460741973679,1.3155644077088284,0.6744513590976525,1.2478206587281169,0.5373362145878426,1.0860715822179106,0.5009807946974184
saugeen/W/short,1.9906580047824172,0.7411349296299943,1.777940569966224,0.6621562708392367,1.850404810918117,0.6893626884990858,2.6934742494382204,1.0040502952141712,1.9049154657724188,0.7099280541330653,1.6900830344970434,0.5278864353085853,1.611420582816501,0.5368533086971149
solar/10T/short,1.105702806519575,0.7351530400994855,2.2713456657018485,1.4937419016047253,2.2474839590924867,1.4786879959139974,2.356374681337563,1.5476268290174675,2.3902354400392194,1.5726607810484527,2.346594246782615,1.4920244785304575,1.4777238826492294,0.8703214024956942
solar/10T/medium,0.9270005407497468,0.4700110700844557,3.378762199223707,1.7049925744600587,3.1475177081420393,1.5935879591926356,3.280584440979222,1.6627871932886908,3.1150019110690774,1.579449462858792,3.0511219964924408,1.511750938252517,2.4072323912230917,1.134601062544948
solar/10T/long,0.8709317965851564,0.4313689460826169,2.24165427273777,1.1097951760472622,2.0804912619251534,1.0308457739340189,2.257811195109384,1.1193505858026829,2.0432743338836774,1.0146143995179997,2.029038103691472,0.9877214133764992,2.414348088574341,1.1217926467312778
solar/D/short,1.1558611897030566,0.4264475535285355,1.0868258110534978,0.4030632265746288,1.1539312630972138,0.4283733808986054,1.0400867846909554,0.3858922969964928,1.1578064051512815,0.4289724449305722,1.1697306237544955,0.3600161905573193,1.0469837937279514,0.3268516020267472
solar/H/short,0.9519362456858694,0.4533695650466284,1.9372152138375105,0.92592308567262,2.0745168566342076,0.986278140400257,2.210882584911541,1.0482601805705922,2.2819501351098856,1.085642809824351,2.0318695887134113,0.8228569298790164,2.0991142411431465,0.864039047113423
solar/H/medium,0.9349685904330064,0.4403534988832545,1.4261622645697196,0.6691245823569211,1.3130721388040745,0.6181668078054097,1.7358927228846026,0.80910068179298,1.5376476994238175,0.7233201981968352,1.4754745418932194,0.5895732341216493,1.4835108012557292,0.5892556513088764
solar/H/long,1.0711966474341137,0.4852437339147538,1.4943732412542603,0.6760705782006142,1.4205749340902385,0.6439268415385305,1.715439552734671,0.7738292599573975,1.539720417456749,0.6987273240889853,1.452982721760566,0.5700659637917468,1.56379531599706,0.596549678705001
solar/W/short,1.4703506784640206,0.273897654016819,1.6846607309525592,0.3133765219059695,1.2847675559064595,0.2398888085123113,2.0217439788654197,0.3749768506263322,1.1706408293943358,0.2181196154010912,0.9840553712951656,0.1459152671194035,0.9644187212723596,0.1537321227491932
us_births/D/short,1.8648391912491096,0.1187597198617494,0.9627583258349576,0.0612779195070457,1.2374695998554803,0.0787763158433726,1.3113641227835724,0.0834738681958721,1.455332487922819,0.0926323741187579,1.4499700201257026,0.0769169905393882,1.331867263968495,0.0725778059439594
us_births/M/short,0.7605310792868888,0.0208249077875919,1.1561048602143476,0.031720371931036,1.9402571234029455,0.0532449289484647,1.3335223092551356,0.0365730292764446,1.7603090691993426,0.0483588296009432,1.97671541641692,0.0463543640491182,3.3404714845566716,0.0862759383324034
us_births/W/short,1.5634204337929731,0.0233531947077275,1.849596647630426,0.0276373915295641,1.9693724046262415,0.0294299527863092,2.062806819128431,0.0308218839918574,1.894908813306164,0.0283218095647304,2.219576697769573,0.0280818700164757,2.4592249885749653,0.0303702574495977
