dataset,sn_mase,sn_wql,mase_v2,wql_v2,mase_v3b,wql_v3b,mase_mix90,wql_mix90,mase_fe_mu,wql_fe_mu,mase_fe_mu_qh,wql_fe_mu_qh,mase_RevIN_qh,wql_RevIN_qh
loop_seattle/5T/short,0.7623397117792324,0.0824126904539839,0.8467474287701028,0.0934929991039953,0.8577029612249376,0.0948070231868968,0.8487200501404977,0.0937991382936453,0.859277606596426,0.0946504140406901,0.888994768247486,0.086287974186118,0.8130856568505322,0.0793318025724092
loop_seattle/5T/medium,1.1532851467999472,0.1293929755371249,1.707633321374204,0.1976091615750537,1.6890936426487002,0.1954689168055209,1.6445005180116086,0.1908770465208374,1.6412607607596583,0.1897559584507054,1.6375837279952958,0.1718311410282814,1.4020930253647514,0.1480872753109786
loop_seattle/5T/long,1.2506857542723633,0.1395241174650913,1.4092606805141823,0.1608668981559678,1.4129483334115218,0.1610895064332956,1.3790940562559524,0.1576221985098082,1.386882037292906,0.1584519283279673,1.3887907896138705,0.1456905195221234,1.45126670897526,0.153176878675138
loop_seattle/D/short,1.7323957056549062,0.1061568209672539,1.036041494676397,0.0622835487674522,1.098345520471257,0.0660113355223446,1.2326392548103196,0.0746643944765793,1.2015938365154155,0.0725467148265082,1.293859825672482,0.0653133063183561,1.1579189386912228,0.0606854075531763
loop_seattle/H/short,1.2928412613285252,0.1124300496509279,1.4043261945804564,0.1238531209619588,1.4543005969952183,0.1284222382742027,1.4194998568537545,0.1260618606217151,1.4979819190543555,0.1322289920550222,1.546556078633595,0.1204049692011706,1.4786472183022707,0.1167769456796611
loop_seattle/H/medium,1.4805126193610998,0.1275985999000704,1.509649656401923,0.1314072043920683,1.548108891013167,0.1342358344373967,1.5847544399271047,0.1389475811609149,1.5373637888656353,0.1336857173058907,1.4925188512226226,0.1129038918802003,1.3080104160720016,0.1022982379632388
loop_seattle/H/long,1.546026875629892,0.1342397172228159,1.5313724534668125,0.1330457363677686,1.5727863691093968,0.1361213758314275,1.541731364179303,0.1340029004089492,1.5325273359282527,0.1330137949449499,1.5129359501157558,0.1180335414566435,1.3769695444139354,0.1094645688876371
m_dense/D/short,1.6693368814915877,0.2049384849395981,0.917896801277834,0.1109647872375209,1.0025629829047884,0.1206040915423164,1.0306363207282423,0.1254732354703441,1.1145264641500388,0.1375744519764916,1.1132813775669164,0.1116518587690383,1.1928523750979931,0.1216837384877625
m_dense/H/short,1.4875444172682804,0.3195969223825816,1.5385468688438229,0.3357432123304164,1.6973065294350629,0.373231472982013,1.6436437256299434,0.3627057863690117,1.659582350325005,0.3595331500905855,1.6864472875421082,0.3187155862382264,1.6955606067561275,0.3140458232679968
m_dense/H/medium,1.5699465118628486,0.3290112253930586,1.4574530549377136,0.3167990544467284,1.5330815876283888,0.3310379673211734,1.5423720486743755,0.3331339482736802,1.6010991727382975,0.3543349818304275,1.5888165675598769,0.3098085997571169,1.3459536144227588,0.2410313055249721
m_dense/H/long,1.4779178745268122,0.3043771400766444,1.3923047790572711,0.2919441897562768,1.4538436292256616,0.3022389667322691,1.4916719942827443,0.3148267640903895,1.527665901812347,0.3286729439552521,1.515740899104123,0.2869668708363644,1.291260328712837,0.2296576208577884
sz_taxi/15T/short,0.7644167736457568,0.3570296749359238,0.6416877598440782,0.2984845947790375,0.6487063320827378,0.3014690161292989,0.651237894127558,0.3028537582411592,0.6481291411014144,0.3017517801019495,0.6576582703271721,0.2571068880531266,0.6247822638700634,0.2436931473244392
sz_taxi/15T/medium,0.7134840539481987,0.3416613121546707,0.6404707559958642,0.3049461267133825,0.6369739713716939,0.3028473900469796,0.6216233111626159,0.2960536526793877,0.6171647614788197,0.2938230156914676,0.6138830575759359,0.2471673448757555,0.617990520744513,0.2439712103404064
sz_taxi/15T/long,0.6909431345378894,0.3405187793764501,0.6413543522454724,0.314303935376164,0.6345278212771903,0.3093084519019018,0.605783175526606,0.2965040906495814,0.6097170044217397,0.2977982964620518,0.6054138497211016,0.2496074714221943,0.5815137384877369,0.2362277950088219
sz_taxi/H/short,0.738167299437528,0.2263768723641913,0.6243184841050796,0.1906804760351142,0.6228504676568343,0.189884935404037,0.6448189777650324,0.196662082142875,0.6493352777802577,0.1972424247867292,0.654162804656542,0.16683091313729,0.8456428092496956,0.213284526551599
