==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.3071      N/A        N/A
bitbrains_fast_storage/5T/medium                1.4210      N/A        N/A
bitbrains_fast_storage/5T/short                 1.0592      N/A        N/A
bitbrains_fast_storage/H/short                  1.9266      N/A        N/A
bitbrains_rnd/5T/long                           4.0084      N/A        N/A
bitbrains_rnd/5T/medium                         5.0178      N/A        N/A
bitbrains_rnd/5T/short                          2.1868      N/A        N/A
bitbrains_rnd/H/short                           7.2184      N/A        N/A
bizitobs_application/10S/long                   9.4473      N/A        N/A
bizitobs_application/10S/medium                 8.8337      N/A        N/A
bizitobs_application/10S/short                  5.7684      N/A        N/A
bizitobs_l2c/5T/long                            1.5802      N/A        N/A
bizitobs_l2c/5T/medium                          1.4715      N/A        N/A
bizitobs_l2c/5T/short                           0.6641      N/A        N/A
bizitobs_l2c/H/long                             1.0084      N/A        N/A
bizitobs_l2c/H/medium                           0.9446      N/A        N/A
bizitobs_l2c/H/short                            0.7672      N/A        N/A
bizitobs_service/10S/long                       4.6711      N/A        N/A
bizitobs_service/10S/medium                     4.9779      N/A        N/A
bizitobs_service/10S/short                      2.9312      N/A        N/A
car_parts/M/short                               1.2198      N/A        N/A
covid_deaths/D/short                          136.4460      N/A        N/A
electricity/15T/long                            2.0128      N/A        N/A
electricity/15T/medium                          1.7678      N/A        N/A
electricity/15T/short                           2.0623      N/A        N/A
electricity/D/short                             2.0832      N/A        N/A
electricity/H/long                              1.8501      N/A        N/A
electricity/H/medium                            1.7937      N/A        N/A
electricity/H/short                             1.9779      N/A        N/A
electricity/W/short                             3.2091      N/A        N/A
ett1/15T/long                                   1.6085      N/A        N/A
ett1/15T/medium                                 1.5179      N/A        N/A
ett1/15T/short                                  1.0331      N/A        N/A
ett1/D/short                                    1.7946      N/A        N/A
ett1/H/long                                     1.5711      N/A        N/A
ett1/H/medium                                   1.5336      N/A        N/A
ett1/H/short                                    1.2416      N/A        N/A
ett1/W/short                                    1.8597      N/A        N/A
ett2/15T/long                                   1.1911      N/A        N/A
ett2/15T/medium                                 1.1456      N/A        N/A
ett2/15T/short                                  0.9822      N/A        N/A
ett2/D/short                                    2.7598      N/A        N/A
ett2/H/long                                     1.3970      N/A        N/A
ett2/H/medium                                   1.3052      N/A        N/A
ett2/H/short                                    1.0150      N/A        N/A
ett2/W/short                                    2.1951      N/A        N/A
hierarchical_sales/D/short                      0.8240      N/A        N/A
hierarchical_sales/W/short                      0.8897      N/A        N/A
hospital/M/short                                1.3566      N/A        N/A
jena_weather/10T/long                           0.8348      N/A        N/A
jena_weather/10T/medium                         0.7967      N/A        N/A
jena_weather/10T/short                          0.5293      N/A        N/A
jena_weather/D/short                            1.1333      N/A        N/A
jena_weather/H/long                             1.2978      N/A        N/A
jena_weather/H/medium                           1.1126      N/A        N/A
jena_weather/H/short                            0.6805      N/A        N/A
kdd_cup_2018/D/short                            1.5802      N/A        N/A
kdd_cup_2018/H/long                             1.0796      N/A        N/A
kdd_cup_2018/H/medium                           1.1085      N/A        N/A
kdd_cup_2018/H/short                            1.0282      N/A        N/A
loop_seattle/5T/long                            1.4513      N/A        N/A
loop_seattle/5T/medium                          1.4021      N/A        N/A
loop_seattle/5T/short                           0.8131      N/A        N/A
loop_seattle/D/short                            1.1579      N/A        N/A
loop_seattle/H/long                             1.3770      N/A        N/A
loop_seattle/H/medium                           1.3080      N/A        N/A
loop_seattle/H/short                            1.4786      N/A        N/A
m4_daily/D/short                               18.2581      N/A        N/A
m4_hourly/H/short                               6.9365      N/A        N/A
m4_monthly/M/short                              2.0771      N/A        N/A
m4_quarterly/Q/short                            7.9187      N/A        N/A
m4_weekly/W/short                              26.3907      N/A        N/A
m4_yearly/A/short                              17.5895      N/A        N/A
m_dense/D/short                                 1.1929      N/A        N/A
m_dense/H/long                                  1.2913      N/A        N/A
m_dense/H/medium                                1.3460      N/A        N/A
m_dense/H/short                                 1.6956      N/A        N/A
restaurant/D/short                              0.9141      N/A        N/A
saugeen/D/short                                 3.8648      N/A        N/A
saugeen/M/short                                 1.0861      N/A        N/A
saugeen/W/short                                 1.6114      N/A        N/A
solar/10T/long                                  2.4143      N/A        N/A
solar/10T/medium                                2.4072      N/A        N/A
solar/10T/short                                 1.4777      N/A        N/A
solar/D/short                                   1.0470      N/A        N/A
solar/H/long                                    1.5638      N/A        N/A
solar/H/medium                                  1.4835      N/A        N/A
solar/H/short                                   2.0991      N/A        N/A
solar/W/short                                   0.9644      N/A        N/A
sz_taxi/15T/long                                0.5815      N/A        N/A
sz_taxi/15T/medium                              0.6180      N/A        N/A
sz_taxi/15T/short                               0.6248      N/A        N/A
sz_taxi/H/short                                 0.8456      N/A        N/A
temperature_rain/D/short                        1.5885      N/A        N/A
us_births/D/short                               1.3319      N/A        N/A
us_births/M/short                               3.3405      N/A        N/A
us_births/W/short                               2.4592      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
