cf415_moirai	10	1.6318
cf415_moirai	25	1.5283
cf415_moirai	50	1.3494
cf415_moirai	75	1.2491
cf415_moirai	100	1.2358
cf415_value	10	1.3396
cf415_value	25	1.2951
cf415_value	50	1.9036
cf415_value	75	1.4096
cf415_value	90	1.4482
k32_r100_09	40	1.4629
k32_r100_09_dec_lr56	40	1.2111
k32_r100_09_lr56	40	1.4404
k32_r100_09_sum	40	1.2161
k32_r200_08_lr56	40	1.2318
k3_r100_09	40	1.3495
k3_r100_09	100	1.3395
k3_r100_09	200	1.3910
k3_r100_09_dec	40	1.3236
k3_r100_09_lr17	40	1.2612
k3_r100_09_lr33	40	1.2483
k3_r100_09_lr45	40	1.2912
k3_r100_09_lr56	40	1.1820
k3_r100_09_lr56	100	1.3170
k3_r100_09_lr56	200	1.3189
k3_r100_09_lr56_dec	40	1.2164
k3_r100_09_lr56_dec	100	1.3507
k3_r100_09_lr56_dec	200	1.2979
k3_r100_09_lr56_dec	300	1.3490
k3_r100_09_lr56_dec	400	1.3816
k3_r100_09_lr56_dec10k	40	1.1915
k3_r100_09_lr56_dec10k	100	1.2151
k3_r100_09_lr56_fix09	40	1.1743
k3_r100_09_lr56_fix09	180	1.3184
k3_r100_09_lr56_fix095_dec0	40	1.1846
k3_r100_09_lr56_fix095_dec0	100	1.2995
k3_r100_09_lr56_fix095_dec0_lr10x	40	1.1780
k3_r100_09_lr56_fix095_dec0_lr10x	100	1.1539
k3_r100_09_lr56_fix095_dec0_lr10x	200	1.1716
k3_r100_09_lr56_fix099	40	1.1888
k3_r100_09_lr56_fix099	100	1.2186
k3_r100_09_lr56_fix099	200	1.3523
k3_r100_09_lr56_fix099_dec10k	40	1.1729
k3_r100_09_lr56_fix099_dec10k	100	1.1817
k3_r100_09_lr56_fix099_dec10k	200	1.2916
k3_r100_09_lr56_fix099_dec10k	400	1.3219
k3_r100_09_lr56_fix09_dec0	40	1.1806
k3_r100_09_lr56_fix09_dec0	100	1.3487
k3_r100_09_lr56_fix09_dec0	200	1.2721
k3_r100_09_lr56_fix09_dec0	400	1.2894
k3_r100_09_lr56_fix09_dec0	440	1.3045
k3_r100_09_lr56_fix09_dec0	520	1.2136
k3_r100_09_lr56_fix09_dec0	540	1.2353
k3_r100_09_lr56_fix09_dec0_lr10x	40	1.1974
k3_r100_09_lr56_fix09_dec0_lr10x	100	1.1639
k3_r100_09_lr56_fix09_dec0_lr10x	200	1.1653
k3_r100_09_lr56_fix09_dec10k	40	1.1634
k3_r100_09_lr56_fix09_dec10k	100	1.1981
k3_r100_09_lr56_fix09_dec10k	180	1.2089
k3_r100_09_lr56_fix09_dec10k	400	1.2458
k3_r100_09_lr56_fix09_dec10k	665	1.2550
k3_r100_09_lr56_fix09_dec10k_aw03_lr10x	40	1.2124
k3_r100_09_lr56_fix09_dec10k_aw3	40	1.1783
k3_r100_09_lr56_fix09_dec10k_aw3	100	1.4651
k3_r100_09_lr56_fix09_dec10k_aw3	200	1.3067
k3_r100_09_lr56_fix09_dec10k_cos200k	40	1.1681
k3_r100_09_lr56_fix09_dec10k_cos200k	100	1.1526
k3_r100_09_lr56_fix09_dec10k_cos200k	200	1.1546
k3_r100_09_lr56_fix09_dec10k_cos200k	300	1.1437
k3_r100_09_lr56_fix09_dec10k_cos200k	400	1.1477
k3_r100_09_lr56_fix09_dec10k_cos200k	500	1.1497
k3_r100_09_lr56_fix09_dec10k_cos200k	600	1.1372
k3_r100_09_lr56_fix09_dec10k_cos200k	665	1.1369
k3_r100_09_lr56_fix09_dec10k_cos200k	800	1.1440
k3_r100_09_lr56_fix09_dec10k_cos200k	1000	1.1394
k3_r100_09_lr56_fix09_dec10k_cos200k	1200	1.1386
k3_r100_09_lr56_fix09_dec10k_cos200k	1330	1.1432
k3_r100_09_lr56_fix09_dec10k_cos665k	40	1.1956
k3_r100_09_lr56_fix09_dec10k_cos665k	100	1.1646
k3_r100_09_lr56_fix09_dec10k_cos665k	200	1.2310
k3_r100_09_lr56_fix09_dec10k_cos665k	300	1.2389
k3_r100_09_lr56_fix09_dec10k_cos665k	400	1.2812
k3_r100_09_lr56_fix09_dec10k_cos665k	500	1.2592
k3_r100_09_lr56_fix09_dec10k_cos665k	600	1.2738
k3_r100_09_lr56_fix09_dec10k_lr100x	40	1.2859
k3_r100_09_lr56_fix09_dec10k_lr100x	100	1.2878
k3_r100_09_lr56_fix09_dec10k_lr100x	200	1.2268
k3_r100_09_lr56_fix09_dec10k_lr100x	300	1.1885
k3_r100_09_lr56_fix09_dec10k_lr100x	400	1.1788
k3_r100_09_lr56_fix09_dec10k_lr100x	500	1.1596
k3_r100_09_lr56_fix09_dec10k_lr100x	600	1.1537
k3_r100_09_lr56_fix09_dec10k_lr100x	665	1.1603
k3_r100_09_lr56_fix09_dec10k_lr100x	700	1.1611
k3_r100_09_lr56_fix09_dec10k_lr100x	1000	1.1435
k3_r100_09_lr56_fix09_dec10k_lr10x	40	1.1782
k3_r100_09_lr56_fix09_dec10k_lr10x	100	1.1499
k3_r100_09_lr56_fix09_dec10k_lr10x	140	1.1526
k3_r100_09_lr56_fix09_dec10k_lr10x	180	1.1576
k3_r100_09_lr56_fix09_dec10k_lr10x	200	1.1576
k3_r100_09_lr56_fix09_dec10k_lr10x	240	1.1403
k3_r100_09_lr56_fix09_dec10k_lr10x	300	1.1453
k3_r100_09_lr56_fix09_dec10k_lr10x	360	1.1577
k3_r100_09_lr56_fix09_dec10k_lr10x	400	1.1745
k3_r100_09_lr56_fix09_dec10k_lr10x	460	1.2105
k3_r100_09_lr56_fix09_dec10k_lr10xb	40	1.1740
k3_r100_09_lr56_fix09_dec10k_lr10xb	100	1.1580
k3_r100_09_lr56_fix09_dec10k_lr30x	40	1.2603
k3_r100_09_lr56_fix09_dec10k_lr30x	100	1.1849
k3_r100_09_lr56_fix09_dec10k_lr30x	200	1.1976
k3_r100_09_lr56_fix09_dec10k_lr30x	300	1.1544
k3_r100_09_lr56_fix09_dec10k_lr30x	400	1.2034
k3_r100_09_lr56_fix09_dec10k_lr30x	500	1.1749
k3_r100_09_lr56_fix09_dec10k_lr30x	600	1.1715
k3_r100_09_lr56_fix09_dec40k	40	1.3167
k3_r100_09_lr56_fix09_dec40k	100	1.3501
k3_r100_09_lr56_ramp665k_dec0	40	1.1855
k3_r100_09_lr56_ramp665k_dec0	100	1.1869
k3_r100_09_lr56_ramp665k_dec0	200	1.2638
k3_r100_09_lr56_ramp665k_dec10k	40	1.1877
k3_r100_09_lr56_ramp665k_dec10k	100	1.2218
k3_r100_09_lr56_ramp665k_dec10k_lr10x	40	1.2110
k3_r100_09_lr56_ramp665k_dec10k_lr10x	100	1.1819
k3_r100_09_lr70	40	1.2192
k3_r100_09b	40	1.2927
k3_r100_09b_lr56	40	1.2469
k8_r100_09	40	1.4537
k8_r100_09_lr56	40	1.2750
