time,pid,used_mib,gpu,gpu_free_mib
22:08:20,3056982,6252,0,3038
22:09:21,3056982,6252,0,3038
22:10:21,3056982,6252,0,3038
22:11:21,3056982,6252,0,3038
22:12:21,3056982,6252,0,3038
22:13:21,3056982,6252,0,3038
22:14:21,3056982,6252,0,3038
22:15:21,3056982,6252,0,3038
22:16:22,3056982,6252,0,3038
22:17:22,3056982,6252,0,3038
22:18:22,3056982,6252,0,3038
22:19:22,3056982,6252,0,3038
22:20:22,3056982,6252,0,3038
22:21:22,3056982,6252,0,3038
22:22:23,3056982,6252,0,3038
22:23:23,3056982,6252,0,3038
22:24:23,3056982,6252,0,3038
22:25:23,3056982,6252,0,3038
22:26:23,3056982,6252,0,3038
22:27:23,3056982,6252,0,3038
22:28:23,3056982,6252,0,3038
22:29:24,3056982,6252,0,3038
22:30:24,3056982,6252,0,3038
22:31:24,3056982,6252,0,3038
22:32:24,3056982,6252,0,3038
22:33:24,3056982,6252,0,3038
22:34:24,3056982,6252,0,3038
22:35:24,3056982,6252,0,3038
22:36:25,3056982,6252,0,3038
22:37:25,3056982,6252,0,3038
22:38:25,3056982,6252,0,3038
22:39:25,3056982,6252,0,3038
22:40:25,3056982,6252,0,3038
22:41:25,3056982,6252,0,3038
22:42:25,3056982,6252,0,3038
22:43:26,3056982,6252,0,3038
22:44:26,3056982,6252,0,3038
22:45:26,3056982,6252,0,3038
22:46:26,3056982,6252,0,3038
22:47:26,3056982,6252,0,3038
22:48:26,3056982,6252,0,3038
22:49:27,3056982,6252,0,3038
22:50:27,3056982,6252,0,3038
22:51:27,3056982,6252,0,3038
22:52:27,3056982,6252,0,3038
22:53:27,3056982,6252,0,3038
22:54:27,3056982,6252,0,3038
22:55:27,3056982,6252,0,3038
22:56:28,3056982,6252,0,3038
22:57:28,3056982,6252,0,3038
22:58:28,3056982,6252,0,3038
22:59:28,3056982,6252,0,3038
23:00:28,3056982,6252,0,3038
23:01:28,3056982,6252,0,3038
23:02:28,3056982,6252,0,3038
23:03:29,3056982,6252,0,3038
23:04:29,3056982,6252,0,3038
23:05:29,3056982,6252,0,3038
23:06:29,3056982,6252,0,3038
23:07:29,3056982,6252,0,3038
23:08:29,3056982,6252,0,3038
23:09:29,3056982,6252,0,3038
23:10:30,3056982,6252,0,3038
23:11:30,3056982,6252,0,3038
23:12:30,3056982,6252,0,3038
23:13:30,3056982,6252,0,3038
23:14:30,3056982,6252,0,3038
23:15:30,3056982,6252,0,3038
23:16:30,3056982,6252,0,3038
23:17:31,3056982,6252,0,3038
23:18:31,3056982,6252,0,3038
23:19:31,3056982,6252,0,3038
23:20:31,3056982,6252,0,3038
23:21:31,3056982,6252,0,3038
23:22:31,3056982,6252,0,3038
23:23:31,3056982,6252,0,3038
23:24:32,3056982,6252,0,3038
23:25:32,3056982,6252,0,3038
23:26:32,3056982,6252,0,3038
23:27:32,3056982,6252,0,3038
23:28:32,3056982,6252,0,3038
23:29:32,3056982,6252,0,3038
23:30:32,3056982,6252,0,3038
# peak_mib,6252
