offset_s,used_mib
2,12
2,24
2,384
2,472
2,494
2,516
2,518
2,518
2,518
2,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,518
3,520
3,520
3,540
3,564
3,564
3,5364
3,5364
3,5364
3,5372
3,5372
3,5372
4,5372
4,5372
4,5372
4,5372
4,5372
4,5372
4,5372
4,5374
4,5376
4,5378
4,5378
4,5378
4,5378
4,5378
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
4,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
5,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
6,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
7,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
8,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
9,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
10,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
11,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
12,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
13,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
14,5380
15,5380
15,5380
15,5380
15,5382
15,5382
15,5382
15,5382
15,5382
15,5382
15,5382
15,5382
15,5382
15,5390
15,5390
15,5394
15,5394
15,5394
15,5396
15,5396
15,5398
15,5400
15,5408
15,5408
15,5408
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
15,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5412
16,5414
16,5414
16,5420
16,5422
16,5422
16,5422
16,5424
16,5424
16,5424
16,5424
16,5424
16,5424
16,5424
16,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
17,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
18,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
19,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
20,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
21,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
22,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
23,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
24,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
25,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
26,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
27,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
28,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
29,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
30,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
31,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
32,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
33,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
34,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
35,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
36,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
37,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
38,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
39,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
40,5424
41,5424
41,5424
41,5424
41,5424
41,5424
41,5424
41,5424
41,5424
41,5424
41,5424
