name,tau,encoder_type,sample_idx,skip_rows,r2_random,r2_naive,u_temporal,u_batch,auc,top1
transformer_encoder_tau_0_10_50k,0.1,transformer,0,50000000,0.6582894027233124,0.6057616174221039,0.06427766382694244,0.14210283756256104,0.8976112008094788,0.753637433052063
transformer_encoder_tau_0_10_50k,0.1,transformer,1,50854800,0.6662392318248749,0.6148766279220581,0.06390126049518585,0.1419839709997177,0.9063330292701721,0.7651031613349915
transformer_encoder_tau_0_10_50k,0.1,transformer,2,51709600,0.6533334255218506,0.6046105921268463,0.06570476293563843,0.13886763155460358,0.905000627040863,0.7648975253105164
transformer_encoder_tau_0_10_50k,0.1,transformer,3,52564400,0.650212436914444,0.5987997353076935,0.06420208513736725,0.13999620079994202,0.9031423926353455,0.7597103118896484
transformer_encoder_tau_0_10_50k,0.1,transformer,4,53419200,0.6602744460105896,0.6175384223461151,0.0655578225851059,0.1345662772655487,0.9072740077972412,0.7651821970939636
transformer_encoder_tau_0_10_50k,0.1,transformer,5,54274000,0.6517906486988068,0.5981594324111938,0.06428483128547668,0.13593681156635284,0.8920522928237915,0.7463151812553406
transformer_encoder_tau_0_10_50k,0.1,transformer,6,55128800,0.6594921946525574,0.6112401485443115,0.06429873406887054,0.14320456981658936,0.9043245911598206,0.7593465447425842
transformer_encoder_tau_0_10_50k,0.1,transformer,7,55983600,0.6613525450229645,0.6132763624191284,0.06492100656032562,0.13810154795646667,0.9074915051460266,0.7624304294586182
transformer_encoder_tau_0_10_50k,0.1,transformer,8,56838400,0.6591868698596954,0.6035166382789612,0.06275980174541473,0.1383788287639618,0.8908503651618958,0.7435317635536194
transformer_encoder_tau_0_10_50k,0.1,transformer,9,57693200,0.6612765789031982,0.6171529293060303,0.06484915316104889,0.13998734951019287,0.9086815714836121,0.7677283883094788
transformer_encoder_tau_0_10_50k,0.1,transformer,10,58548000,0.6647625267505646,0.6115237474441528,0.060464948415756226,0.1425180584192276,0.9019839763641357,0.7549183964729309
