name,tau,encoder_type,sample_idx,skip_rows,r2_random,r2_naive,u_temporal,u_batch,auc,top1
tau_sweep_0_10_baseline,0.1,gru,0,50000000,0.6671363115310669,0.6074853539466858,0.050647445023059845,0.10279634594917297,0.8914671540260315,0.7448760271072388
tau_sweep_0_10_baseline,0.1,gru,1,50854800,0.6726165413856506,0.6162036657333374,0.0501561313867569,0.10288696736097336,0.8975756168365479,0.7544123530387878
tau_sweep_0_10_baseline,0.1,gru,2,51709600,0.6612305045127869,0.6071453392505646,0.05195571482181549,0.10203704237937927,0.8993903398513794,0.756294310092926
tau_sweep_0_10_baseline,0.1,gru,3,52564400,0.658614844083786,0.6004778146743774,0.050858162343502045,0.102328360080719,0.8960771560668945,0.7494623064994812
tau_sweep_0_10_baseline,0.1,gru,4,53419200,0.6679023802280426,0.6214322447776794,0.05157287418842316,0.09969055652618408,0.9039410948753357,0.7578283548355103
tau_sweep_0_10_baseline,0.1,gru,5,54274000,0.6589511036872864,0.6008236408233643,0.05094399303197861,0.10113371908664703,0.8858292102813721,0.7391036152839661
tau_sweep_0_10_baseline,0.1,gru,6,55128800,0.6673364341259003,0.6146726608276367,0.050491541624069214,0.1031426414847374,0.8969825506210327,0.7505061030387878
tau_sweep_0_10_baseline,0.1,gru,7,55983600,0.6685003936290741,0.614944338798523,0.05126947537064552,0.10121285915374756,0.9006476402282715,0.7532578706741333
tau_sweep_0_10_baseline,0.1,gru,8,56838400,0.6675433814525604,0.6059692203998566,0.04979315400123596,0.10165585577487946,0.8855959177017212,0.7359090447425842
tau_sweep_0_10_baseline,0.1,gru,9,57693200,0.6688880324363708,0.6189250946044922,0.05184203386306763,0.10134103894233704,0.9009243845939636,0.7571324706077576
tau_sweep_0_10_baseline,0.1,gru,10,58548000,0.6722243130207062,0.6120182275772095,0.04815182834863663,0.1019727885723114,0.8962511420249939,0.7450341582298279
tau_sweep_0_10_baseline,0.1,gru,11,59402800,0.6650300025939941,0.6086850166320801,0.05186967924237251,0.10210467875003815,0.9022449254989624,0.7609438300132751
tau_sweep_0_10_baseline,0.1,gru,12,60257600,0.6777072846889496,0.625657707452774,0.05068843811750412,0.10263942182064056,0.897970974445343,0.7495888471603394
tau_sweep_0_10_baseline,0.1,gru,13,61112400,0.675002247095108,0.6208694577217102,0.051499079912900925,0.10059228539466858,0.9020551443099976,0.7546653747558594
tau_sweep_0_10_baseline,0.1,gru,14,61967200,0.6719240546226501,0.6191925406455994,0.052923351526260376,0.10320161283016205,0.8992915153503418,0.7661468982696533
tau_sweep_0_10_baseline,0.1,gru,15,62822000,0.6605409979820251,0.6006981134414673,0.05189621448516846,0.1026533842086792,0.8997343182563782,0.7561045289039612
tau_sweep_0_10_baseline,0.1,gru,16,63676800,0.6550581455230713,0.5913988351821899,0.04922531545162201,0.10057827085256577,0.8847577571868896,0.7304055094718933
tau_sweep_0_10_baseline,0.1,gru,17,64531600,0.6715426445007324,0.6235017776489258,0.051616352051496506,0.10213842242956161,0.9082980155944824,0.76328444480896
tau_sweep_0_10_baseline,0.1,gru,18,65386400,0.6613691449165344,0.6108621954917908,0.05160016566514969,0.10066360235214233,0.90117347240448,0.7530364394187927
tau_sweep_0_10_baseline,0.1,gru,19,66241200,0.6834079325199127,0.6304795444011688,0.049924351274967194,0.10453206300735474,0.8997620344161987,0.7560887336730957
tau_sweep_0_10_baseline,0.1,gru,20,67096000,0.6744931638240814,0.621406763792038,0.04724966734647751,0.09804613888263702,0.8941794037818909,0.7372849583625793
tau_sweep_0_10_baseline,0.1,gru,21,67950800,0.6796639561653137,0.6279121935367584,0.049947965890169144,0.10316517949104309,0.8976705074310303,0.7510437965393066
tau_sweep_0_10_baseline,0.1,gru,22,68805600,0.6807766556739807,0.6355343461036682,0.05201523005962372,0.10370686650276184,0.9067047238349915,0.7694363594055176
tau_sweep_0_10_baseline,0.1,gru,23,69660400,0.6518976390361786,0.601460337638855,0.0509943962097168,0.09722167253494263,0.895942747592926,0.737664520740509
tau_sweep_0_10_baseline,0.1,gru,24,70515200,0.661678284406662,0.6121856868267059,0.05286119878292084,0.10191847383975983,0.9019325971603394,0.7561836242675781
tau_sweep_0_10_baseline,0.1,gru,25,71370000,0.6651460230350494,0.611930787563324,0.05100548639893532,0.10280489921569824,0.9000940918922424,0.7571166753768921
tau_sweep_0_10_baseline,0.1,gru,26,72224800,0.6613452136516571,0.6082319021224976,0.05114264786243439,0.1015254557132721,0.8956778645515442,0.7450341582298279
