step,loss
1,17.819564819335938
2,19.689838409423828
3,27.27655792236328
4,32.068687438964844
5,23.29735946655273
6,18.327795028686523
7,15.38833713531494
8,14.56370735168457
9,14.156502723693848
10,13.095257759094238
11,12.733036994934082
12,12.260306358337402
13,11.613780975341797
14,11.431558609008787
15,10.863431930541992
16,10.523242950439451
17,10.159831047058104
18,9.994492530822754
19,9.64671802520752
20,9.418068885803224
21,9.311185836791992
22,9.05137825012207
23,9.311012268066406
24,8.47939682006836
25,8.36557674407959
26,8.414557456970215
27,8.139410972595215
28,8.187243461608887
29,7.811258316040039
30,7.726184844970703
31,7.629628181457519
32,7.559425830841064
33,7.367758274078369
34,7.281759262084961
35,7.071120738983154
36,7.1162214279174805
37,6.863105297088623
38,6.906242847442627
39,6.731160640716553
40,6.657077312469482
41,6.508454322814941
42,6.467438220977783
43,6.153064250946045
44,6.411495208740234
45,6.247008323669434
46,6.19622802734375
47,6.025120258331299
48,6.180562496185303
49,5.874229431152344
50,5.82899284362793
51,5.820043087005615
52,5.89575719833374
53,5.738729476928711
54,5.842461585998535
55,5.728230953216553
56,5.767007350921631
57,5.613177299499512
58,5.508301734924316
59,5.4225921630859375
60,5.273126602172852
61,5.331380844116211
62,5.288843154907227
63,5.224609375
64,5.225257873535156
65,5.063132762908936
66,5.044803142547607
67,5.118791103363037
68,4.979536533355713
69,5.021914482116699
70,4.950888156890869
71,5.051467418670654
72,4.929769515991211
73,4.755533695220947
74,4.797159194946289
75,4.881571292877197
76,4.762420654296875
77,4.862310409545898
78,4.712084293365479
79,4.809290409088135
80,4.751711845397949
81,4.666948318481445
82,4.627716064453125
83,4.671197414398193
84,4.733716011047363
85,4.661966800689697
86,4.640006065368652
87,4.743098735809326
88,4.592926502227783
89,4.616870403289795
90,4.597338199615479
91,4.517364501953125
92,4.53477668762207
93,4.608258724212647
94,4.755687236785889
95,4.495212078094482
96,4.459615230560303
97,4.480424404144287
98,4.412563800811768
99,4.396666049957275
100,4.416828632354736
101,4.3758625984191895
102,4.552872657775879
103,4.399378776550293
104,4.375061988830566
105,4.349552631378174
106,4.41342306137085
107,4.418797016143799
108,4.311356544494629
109,4.323836326599121
110,4.336835861206055
111,4.234166145324707
112,4.258731842041016
113,4.336368083953857
114,4.232379913330078
115,4.245217800140381
116,4.299824237823486
117,4.273663520812988
118,4.1960530281066895
119,4.19927978515625
120,4.321099281311035
121,4.134293556213379
122,4.250705242156982
123,4.266703605651856
124,4.086191177368164
125,4.193900108337402
126,4.2012786865234375
127,4.146679878234863
128,4.174242973327637
129,4.1866774559021
130,4.117823123931885
131,4.099877834320068
132,4.126009464263916
133,4.151052951812744
134,4.088545799255371
135,4.060588359832764
136,4.131329536437988
137,4.158332824707031
138,4.133654594421387
139,4.059741973876953
140,4.029186248779297
141,4.187418460845947
142,4.065639972686768
143,4.059830665588379
144,4.048922061920166
145,4.072183132171631
146,3.997173309326172
147,4.126539707183838
148,4.1374125480651855
149,3.997401475906372
150,4.08860969543457
151,4.169829845428467
152,4.053664684295654
153,4.044308662414551
154,4.052898406982422
155,4.060178279876709
156,4.183393955230713
157,3.964087724685669
158,4.03315544128418
159,4.040452003479004
160,4.017570972442627
161,3.964401483535767
162,3.96685528755188
163,4.055311679840088
164,4.027724266052246
165,4.038897037506104
166,3.981821060180664
167,4.008080959320068
168,3.940272331237793
169,3.920381784439087
170,3.956220149993897
171,4.067574501037598
172,4.015389919281006
173,4.0355143547058105
174,3.943835496902466
175,4.012587070465088
176,4.0614190101623535
177,4.093662261962891
178,4.075276374816895
179,3.996894836425781
180,3.960414171218872
181,3.911808967590332
182,4.061744689941406
183,3.929816722869873
184,4.02109432220459
185,4.0417985916137695
186,3.951807975769043
187,3.942273378372192
188,3.969047546386719
189,4.02125358581543
190,3.918663024902344
191,3.901515483856201
192,3.932615995407105
193,3.928822755813599
194,3.9805002212524414
195,3.892342567443848
196,3.877794981002808
197,3.902485609054565
198,3.966342210769653
199,3.946850538253784
200,3.8668463230133057
201,3.971982002258301
202,3.889874458312988
203,3.884334564208984
204,3.976233720779419
205,3.975721597671509
206,3.889688014984131
207,3.923769474029541
208,3.900918960571289
209,3.963538885116577
210,3.858944416046143
211,3.88102388381958
212,3.854627847671509
213,3.8767147064208975
214,3.841921806335449
215,3.888185739517212
216,3.842437744140625
217,3.8759262561798096
218,3.835992574691773
219,3.874377012252808
220,3.891626119613648
221,3.869897365570069
222,3.8185107707977295
223,3.888860464096069
224,3.874412298202514
225,3.794957399368286
226,3.9018609523773193
227,3.767731666564941
228,3.900402069091797
229,3.794508457183838
230,3.797872304916382
231,3.840877056121826
232,3.8585166931152335
233,3.8231680393218994
234,3.7712252140045166
235,3.945763349533081
236,3.731667041778565
237,3.922365188598633
238,3.97057580947876
239,3.966408729553223
240,3.82799768447876
241,3.832844257354736
242,3.8593928813934326
243,3.779908418655396
244,3.812830924987793
245,3.810433626174927
246,3.872706651687622
247,3.8616042137146
248,3.8320565223693848
249,3.835691928863525
250,3.7828292846679688
251,3.798710584640503
252,3.8361783027648926
253,3.920351028442383
254,3.878704786300659
255,3.935330629348755
256,3.864123821258545
257,3.951145648956299
258,3.811068773269653
259,3.854501247406006
260,3.824183702468872
261,3.79613733291626
262,3.870752096176148
263,3.798095941543579
264,3.807503938674927
265,3.7950973510742183
266,3.880871534347534
267,3.829016923904419
268,3.837282419204712
269,3.794525146484375
270,3.8449394702911377
271,3.791579484939575
272,3.860507011413574
273,3.872875690460205
274,3.841466188430786
275,3.823506355285645
276,3.941107749938965
277,3.972230672836304
278,3.947279691696167
279,3.8404831886291504
280,3.923139333724976
281,3.85330867767334
282,3.929131984710693
283,3.936798095703125
284,3.95500373840332
285,3.9207022190094
286,3.918255090713501
287,3.892951726913452
288,3.873724937438965
289,3.854166269302368
290,3.7924959659576416
291,3.8390371799468994
292,3.86982798576355
293,3.827169179916382
294,3.841541051864624
295,3.867206335067749
296,3.819400310516357
297,3.782825469970703
298,3.8612372875213614
299,3.9521214962005615
300,3.9186413288116455
301,3.917469501495361
302,3.973756074905396
303,3.9080963134765625
304,3.831505298614502
305,3.8507583141326895
306,3.849743843078613
307,3.968043565750122
308,3.856862783432007
309,3.8219828605651855
310,3.961859941482544
311,3.993893623352051
312,3.8714003562927246
313,3.841066598892212
314,3.905219078063965
315,3.929177284240722
316,3.8705203533172607
317,3.8862366676330566
318,3.9462087154388423
319,3.850669860839844
