step,loss,hf_rows_consumed
1,0.47584471106529236,256
2,0.4653192162513733,512
3,0.4724068343639374,768
4,0.47443991899490356,1024
5,0.46973854303359985,1280
6,0.47038739919662476,1536
7,0.46909165382385254,1792
8,0.46915677189826965,2048
9,0.4658408463001251,2304
10,0.47744178771972656,2560
11,0.477463960647583,2816
12,0.46979618072509766,3072
13,0.4755207300186157,3328
14,0.4615096151828766,3584
15,0.46308431029319763,3840
16,0.45027297735214233,4096
17,0.4777023494243622,4352
18,0.46822962164878845,4608
19,0.47170546650886536,4864
20,0.4621080160140991,5120
21,0.4713200330734253,5376
22,0.4673144817352295,5632
23,0.4633755683898926,5888
24,0.46631762385368347,6144
25,0.4667184352874756,6400
26,0.44886064529418945,6656
27,0.45544421672821045,6912
28,0.4565655589103699,7168
29,0.46470239758491516,7424
30,0.4516044855117798,7680
31,0.46398118138313293,7936
32,0.4542880058288574,8192
33,0.4553094506263733,8448
34,0.45017704367637634,8704
35,0.455888032913208,8960
36,0.4491446614265442,9216
37,0.4437134563922882,9472
38,0.45612281560897827,9728
39,0.44113215804100037,9984
40,0.44499945640563965,10240
41,0.43645474314689636,10496
42,0.44991597533226013,10752
43,0.44206514954566956,11008
44,0.4401700794696808,11264
45,0.4258175194263458,11520
46,0.4439723789691925,11776
47,0.4340035915374756,12032
48,0.43887633085250854,12288
49,0.43742045760154724,12544
50,0.4132424294948578,12800
51,0.4292354881763458,13056
52,0.42354264855384827,13312
53,0.41665738821029663,13568
54,0.4119032323360443,13824
55,0.4216081202030182,14080
56,0.415799617767334,14336
57,0.41224128007888794,14592
58,0.41627204418182373,14848
59,0.41162237524986267,15104
60,0.4030908942222595,15360
61,0.40870553255081177,15616
62,0.4014365077018738,15872
63,0.38462573289871216,16128
64,0.3992995321750641,16384
65,0.38756123185157776,16640
66,0.39754757285118103,16896
67,0.3818705081939697,17152
68,0.3864400386810303,17408
69,0.3899608552455902,17664
70,0.3708319365978241,17920
71,0.3760835528373718,18176
72,0.3747021555900574,18432
73,0.3694731891155243,18688
74,0.3651929199695587,18944
75,0.3591741621494293,19200
76,0.34174251556396484,19456
77,0.3479853868484497,19712
78,0.3455107510089874,19968
79,0.3557489812374115,20224
80,0.3469049632549286,20480
81,0.3366614580154419,20736
82,0.3420235812664032,20992
83,0.3362639546394348,21248
84,0.34095388650894165,21504
85,0.3317966163158417,21760
86,0.3325822353363037,22016
87,0.323147177696228,22272
88,0.3254101574420929,22528
89,0.32957664132118225,22784
90,0.32402199506759644,23040
91,0.3221283257007599,23296
92,0.32520198822021484,23552
93,0.3256502151489258,23808
94,0.31768831610679626,24064
95,0.3158111870288849,24320
96,0.3170718550682068,24576
97,0.32126492261886597,24832
98,0.3232600688934326,25088
99,0.3161255419254303,25344
100,0.3226507604122162,25600
101,0.3161701261997223,25856
102,0.3150709569454193,26112
103,0.30964553356170654,26368
104,0.3170515298843384,26624
105,0.31843477487564087,26880
106,0.3064315915107727,27136
107,0.3117595314979553,27392
108,0.2996760308742523,27648
109,0.3124839663505554,27904
110,0.3072158694267273,28160
111,0.30433908104896545,28416
112,0.30755743384361267,28672
113,0.3071615397930145,28928
114,0.3113005459308624,29184
115,0.30414479970932007,29440
116,0.3073574900627136,29696
117,0.3023013472557068,29952
118,0.3072998523712158,30208
119,0.3107450008392334,30464
120,0.3128049373626709,30720
121,0.3102717697620392,30976
122,0.29904142022132874,31232
123,0.30211782455444336,31488
124,0.30730903148651123,31744
125,0.30595898628234863,32000
126,0.30422231554985046,32256
127,0.2935965359210968,32512
128,0.2945035398006439,32768
129,0.2970521152019501,33024
130,0.29350143671035767,33280
131,0.2992873191833496,33536
132,0.2958380877971649,33792
133,0.2914592921733856,34048
134,0.2897034287452698,34304
135,0.2908618152141571,34560
136,0.28769075870513916,34816
137,0.2845820188522339,35072
138,0.2920389473438263,35328
139,0.2793320119380951,35584
140,0.28621941804885864,35840
141,0.27130579948425293,36096
142,0.28452160954475403,36352
143,0.27731800079345703,36608
144,0.27936333417892456,36864
145,0.28296083211898804,37120
146,0.2677578032016754,37376
147,0.271973192691803,37632
148,0.26974475383758545,37888
