step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,0.758894,0.381858,0.377036,0.231058
10000,adjacent,5000,5000,0.607838,0.438974,0.168864,0.032014
10000,vs_initial,0,10000,0.880539,0.635151,0.245388,0.021027
15000,adjacent,10000,5000,0.941227,0.763670,0.177557,0.011203
15000,vs_initial,0,15000,0.970469,0.806493,0.163976,0.009070
20000,adjacent,15000,5000,0.863189,0.784984,0.078205,0.011327
20000,vs_initial,0,20000,0.975712,0.791184,0.184528,0.006109
25000,adjacent,20000,5000,0.900318,0.626603,0.273714,0.014366
25000,vs_initial,0,25000,0.907849,0.648123,0.259727,0.008354
30000,adjacent,25000,5000,0.373916,0.137597,0.236319,0.599513
30000,vs_initial,0,30000,0.948558,0.678170,0.270388,0.008789
35000,adjacent,30000,5000,0.371843,0.116689,0.255154,0.458186
35000,vs_initial,0,35000,0.959172,0.632411,0.326761,0.015402
40000,adjacent,35000,5000,0.527722,0.176105,0.351617,0.548922
40000,vs_initial,0,40000,0.973182,0.724539,0.248644,0.009848
45000,adjacent,40000,5000,0.471682,0.394389,0.077293,0.135513
45000,vs_initial,0,45000,0.928986,0.679116,0.249870,0.088911
50000,adjacent,45000,5000,0.507960,0.426924,0.081036,0.117577
50000,vs_initial,0,50000,0.958307,0.752179,0.206128,0.006975
55000,adjacent,50000,5000,0.339754,0.171714,0.168041,0.720942
55000,vs_initial,0,55000,0.956924,0.699499,0.257426,0.009202
60000,adjacent,55000,5000,0.662321,0.568795,0.093526,0.088339
60000,vs_initial,0,60000,0.928119,0.711812,0.216307,0.095528
65000,adjacent,60000,5000,0.759941,0.659572,0.100369,0.043158
65000,vs_initial,0,65000,0.948667,0.716292,0.232375,0.019679
70000,adjacent,65000,5000,0.690983,0.553814,0.137169,0.141873
70000,vs_initial,0,70000,0.945250,0.705053,0.240197,0.075643
75000,adjacent,70000,5000,0.372602,0.319317,0.053286,0.425169
75000,vs_initial,0,75000,0.974849,0.680946,0.293903,0.023018
80000,adjacent,75000,5000,0.254769,0.222244,0.032525,0.236754
80000,vs_initial,0,80000,1.013810,0.689732,0.324078,0.047340
85000,adjacent,80000,5000,0.288510,0.262790,0.025720,0.118757
85000,vs_initial,0,85000,0.985168,0.702089,0.283079,0.016747
90000,adjacent,85000,5000,0.253940,0.230406,0.023534,0.169861
90000,vs_initial,0,90000,1.017470,0.688207,0.329263,0.016119
95000,adjacent,90000,5000,0.644278,0.562158,0.082120,0.066222
95000,vs_initial,0,95000,1.044929,0.713982,0.330947,0.099239
100000,adjacent,95000,5000,0.603573,0.505219,0.098355,0.218763
100000,vs_initial,0,100000,0.996079,0.657243,0.338836,0.027509
