name,tau,encoder_type,sample_idx,skip_rows,r2_random,r2_naive,u_temporal,u_batch,auc,top1
enc_fcst_tau_0_10_50k,0.1,gru,0,50000000,0.9963249675929546,0.8697033673524857,0.0044371597468853,0.020116614177823067,0.9765902161598206,0.9392238259315491
enc_fcst_tau_0_10_50k,0.1,gru,1,50854800,0.9964345875196159,0.8338310867547989,0.004212153144180775,0.019983723759651184,0.9791759252548218,0.9417383670806885
enc_fcst_tau_0_10_50k,0.1,gru,2,51709600,0.9969216454774141,0.8501012027263641,0.004314320161938667,0.0220858845859766,0.9760406613349915,0.9373260736465454
enc_fcst_tau_0_10_50k,0.1,gru,3,52564400,0.9962966693565249,0.8470033705234528,0.004496557638049126,0.020632609724998474,0.9750126600265503,0.9367409348487854
enc_fcst_tau_0_10_50k,0.1,gru,4,53419200,0.9970979818608612,0.9059457704424858,0.004398049786686897,0.02035363018512726,0.979179859161377,0.9415169954299927
enc_fcst_tau_0_10_50k,0.1,gru,5,54274000,0.9966382856946439,0.8441916853189468,0.004350439645349979,0.020158175379037857,0.9793221950531006,0.9460083842277527
enc_fcst_tau_0_10_50k,0.1,gru,6,55128800,0.9957827236503363,0.8299713283777237,0.004306298214942217,0.019223351031541824,0.9778514504432678,0.9400620460510254
enc_fcst_tau_0_10_50k,0.1,gru,7,55983600,0.9957207245752215,0.8389553129673004,0.004612680524587631,0.021068770438432693,0.9786935448646545,0.9420862793922424
enc_fcst_tau_0_10_50k,0.1,gru,8,56838400,0.9969040972646326,0.8534878343343735,0.004335951060056686,0.020798569545149803,0.9727116227149963,0.9283907413482666
enc_fcst_tau_0_10_50k,0.1,gru,9,57693200,0.996150990948081,0.8402770608663559,0.0043716151267290115,0.02108408324420452,0.9774283766746521,0.9413904547691345
enc_fcst_tau_0_10_50k,0.1,gru,10,58548000,0.9964654908981174,0.876866303384304,0.004502704367041588,0.01970341056585312,0.9732216596603394,0.9303359389305115
enc_fcst_tau_0_10_50k,0.1,gru,11,59402800,0.9964435771107674,0.8417908549308777,0.004463164135813713,0.022738251835107803,0.9777604937553406,0.9405048489570618
enc_fcst_tau_0_10_50k,0.1,gru,12,60257600,0.9961256277747452,0.8315690457820892,0.004545083735138178,0.020562805235385895,0.9815323352813721,0.9479219913482666
enc_fcst_tau_0_10_50k,0.1,gru,13,61112400,0.9965148782357574,0.8594242632389069,0.004486331716179848,0.018404394388198853,0.97109454870224,0.9272046089172363
enc_fcst_tau_0_10_50k,0.1,gru,14,61967200,0.996437375433743,0.8613932877779007,0.004372247029095888,0.018747478723526,0.9781914353370667,0.9418332576751709
enc_fcst_tau_0_10_50k,0.1,gru,15,62822000,0.9970333878882229,0.892341248691082,0.004479389172047377,0.021956201642751694,0.9792510271072388,0.9451860189437866
enc_fcst_tau_0_10_50k,0.1,gru,16,63676800,0.9966272790916264,0.8665359020233154,0.004462460055947304,0.021138086915016174,0.9797966480255127,0.9433040618896484
enc_fcst_tau_0_10_50k,0.1,gru,17,64531600,0.9971165463794023,0.8744042366743088,0.004324215464293957,0.020360268652439117,0.9752894639968872,0.9352543354034424
enc_fcst_tau_0_10_50k,0.1,gru,18,65386400,0.9962196606211364,0.8433102667331696,0.004541446920484304,0.022394660860300064,0.9798124432563782,0.9449329972267151
enc_fcst_tau_0_10_50k,0.1,gru,19,66241200,0.9971936282236129,0.8641617894172668,0.004455684684216976,0.018796242773532867,0.9756768941879272,0.93574458360672
enc_fcst_tau_0_10_50k,0.1,gru,20,67096000,0.9961009460967034,0.7834378182888031,0.004485736601054668,0.02189626917243004,0.9738423824310303,0.9308261871337891
enc_fcst_tau_0_10_50k,0.1,gru,21,67950800,0.9963246181141585,0.8735611885786057,0.00458996556699276,0.022233884781599045,0.9731821417808533,0.9323285818099976
enc_fcst_tau_0_10_50k,0.1,gru,22,68805600,0.9966948586516082,0.8769441843032837,0.004450947046279907,0.021376464515924454,0.9791205525398254,0.9425923824310303
enc_fcst_tau_0_10_50k,0.1,gru,23,69660400,0.9964704599697143,0.9012549668550491,0.004618607461452484,0.0215968806296587,0.9816113710403442,0.9494401812553406
enc_fcst_tau_0_10_50k,0.1,gru,24,70515200,0.9964781547896564,0.8492748439311981,0.004388789646327496,0.020864220336079597,0.9796226620674133,0.94687819480896
enc_fcst_tau_0_10_50k,0.1,gru,25,71370000,0.9965378905180842,0.7949791252613068,0.004300660919398069,0.02001889795064926,0.9745698571205139,0.9337677359580994
