step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1
1,14.918121337890625,20.221315383911133,-0.37236765027046204,2.492498794732851,0.37813958525657654,0.7505072355270386,0.47646814584732056,0.1873442679643631,64,0,0,0.1769500970840454,-0.192244291305542,0.10085001587867737,0.13410845398902893,0.7723551988601685,0.06621438264846802,0.1421981006860733,,0.05711771920323372,0.3121550679206848,0.04323097690939903,0.047041527926921844,0.13983440399169922,0.04729525372385979,0.900001,0.6218603253364563,0.7317198514938354
2,14.630680084228516,20.60744285583496,-0.2920868396759033,2.533262642194475,0.5174129605293274,0.8094998002052307,0.5595245957374573,0.35430583357810974,128,0,0,0.24682384729385376,-0.10329639911651611,0.06816501915454865,0.0955594852566719,0.7907343506813049,0.053731344640254974,0.12075984477996826,,0.05127625912427902,0.3996790945529938,0.050151415169239044,0.048364490270614624,0.09448467195034027,0.048854146152734756,0.900002,0.4825870096683502,0.5609458088874817
3,14.239943504333496,21.077606201171875,-0.26459425687789917,2.4308039167655098,0.5504787564277649,0.8150730133056641,0.5950689911842346,0.3383542001247406,192,0,0,0.33612871170043945,-0.12006008625030518,0.06488333642482758,0.08886034786701202,0.8086140155792236,0.05753052979707718,0.127544105052948,,0.06291172653436661,0.4033825993537903,0.04113151505589485,0.043568991124629974,0.09172829240560532,0.04397018626332283,0.900003,0.4495212435722351,0.5388851165771484
4,14.098386764526367,20.48843765258789,-0.28807157278060913,2.514274578094799,0.521691083908081,0.8097626566886902,0.5515182018280029,0.28652217984199524,256,0,1,0.36320388317108154,-0.07137441635131836,0.07278286665678024,0.10421661287546158,0.8192386031150818,0.04884667694568634,0.10474898666143417,,0.05225782096385956,0.3735974431037903,0.04942268878221512,0.047419995069503784,0.11110100150108337,0.048200394958257675,0.900004,0.47830888628959656,0.556294858455658
5,13.95207691192627,20.515533447265625,-0.2762506604194641,2.424549733345505,0.5298279523849487,0.8060786128044128,0.562984824180603,0.2693335711956024,320,0,1,0.34024345874786377,-0.08064019680023193,0.07484972476959229,0.10828344523906708,0.8243658542633057,0.0727272778749466,0.15006785094738007,,0.05154721066355705,0.3653357923030853,0.05094091594219208,0.05112650617957115,0.11528845876455307,0.05151800438761711,0.900005,0.47017204761505127,0.5515254139900208
6,13.868864059448242,20.502182006835938,-0.28686970472335815,2.455907954461235,0.5160919427871704,0.8029616475105286,0.5420812368392944,0.2016652673482895,384,0,0,0.3796713352203369,-0.0603255033493042,0.08083215355873108,0.12671713531017303,0.8382622599601746,0.0656716451048851,0.15061059594154358,,0.052924901247024536,0.3211979866027832,0.05195605382323265,0.05812972038984299,0.13316790759563446,0.058346278965473175,0.900006,0.4839080572128296,0.5694683194160461
7,13.85496711730957,19.939876556396484,-0.29538124799728394,2.4833291129313713,0.5054847598075867,0.8008660078048706,0.5218667387962341,0.1836424171924591,448,0,0,0.38750970363616943,-0.036937713623046875,0.08276249468326569,0.13318957388401031,0.8545495867729187,0.07435549795627594,0.1644504815340042,,0.04977324604988098,0.31732192635536194,0.05572865530848503,0.05371962487697601,0.14576339721679688,0.05407692492008209,0.900007,0.49451524019241333,0.5833598375320435
8,13.75401782989502,19.836671829223633,-0.27449285984039307,2.392716916733527,0.5284155011177063,0.8029083609580994,0.5375618934631348,0.17626185715198517,512,0,1,0.46894580125808716,-0.02286374568939209,0.07666617631912231,0.13229799270629883,0.8736155033111572,0.08303935080766678,0.1970149278640747,,0.042583294212818146,0.31298261880874634,0.05366398021578789,0.05961664766073227,0.14402145147323608,0.06050712615251541,0.900008,0.4715844690799713,0.5514540672302246
9,13.640243530273438,19.903167724609375,-0.2608245611190796,2.3408550639462518,0.544654369354248,0.8054789304733276,0.5521907210350037,0.16188278794288635,576,0,1,0.4882770776748657,-0.018816590309143066,0.07737443596124649,0.1347702145576477,0.8884267807006836,0.09172320365905762,0.22089552879333496,,0.04333486035466194,0.3026532530784607,0.06336792558431625,0.06315138936042786,0.1485408991575241,0.06446865946054459,0.9000090000000001,0.45534563064575195,0.5334711074829102
10,13.615114212036133,20.112092971801758,-0.2559663653373718,2.2302743420483435,0.535977303981781,0.7919436693191528,0.5621109008789062,0.11863480508327484,640,0,1,0.5002127587795258,-0.06485521793365479,0.08190175890922546,0.13359130918979645,0.8960682153701782,0.11886025220155716,0.24179105460643768,,0.045720767229795456,0.289846271276474,0.053753387182950974,0.05584906414151192,0.14503498375415802,0.056774478405714035,0.90001,0.4640226662158966,0.5626529455184937
11,13.623016357421875,20.10891342163086,-0.2697916030883789,2.380774259439692,0.5348168611526489,0.8046084642410278,0.5440477728843689,0.08498863875865936,704,0,0,0.48309576511383057,-0.023634910583496094,0.08447891473770142,0.12364670634269714,0.9037725329399109,0.11587517708539963,0.2276797890663147,,0.04603171721100807,0.28558632731437683,0.048476073890924454,0.04734034463763237,0.133666530251503,0.04767771437764168,0.900011,0.4651831388473511,0.5722441077232361
12,13.61072826385498,20.39617919921875,-0.2629396915435791,2.413898551388884,0.5510924458503723,0.8140321373939514,0.5509935021400452,0.08646679669618607,768,0,1,0.5072577595710754,-0.0013633966445922852,0.07839332520961761,0.11561127752065659,0.8950803875923157,0.08005427569150925,0.18154682219028473,,0.04623517394065857,0.26334071159362793,0.04778822883963585,0.0478106364607811,0.1283399611711502,0.04831857606768608,0.900012,0.4489074945449829,0.5518161058425903
13,13.434223175048828,20.84757423400879,-0.22885549068450928,2.2185305242125133,0.583331823348999,0.8121873140335083,0.5915206074714661,0.10982553660869598,832,0,1,0.5415616929531097,-0.022166967391967773,0.07605717331171036,0.10363002121448517,0.9026089310646057,0.1147896945476532,0.2347354292869568,,0.05061794072389603,0.2926838994026184,0.04777158796787262,0.04504893720149994,0.11221931874752045,0.045576803386211395,0.9000130000000001,0.41666820645332336,0.5149365663528442
14,13.470571517944336,20.21982765197754,-0.23620975017547607,2.238577293604935,0.5730797052383423,0.8092894554138184,0.5731714963912964,0.11742526292800903,896,0,0,0.5253914594650269,-0.0025472640991210938,0.0766521543264389,0.11879551410675049,0.8998725414276123,0.12347354739904404,0.24151968955993652,,0.04761442169547081,0.28571635484695435,0.04622272774577141,0.05081756412982941,0.12987366318702698,0.05094442144036293,0.900014,0.4269202649593353,0.5232366323471069
15,13.454751014709473,20.584394454956055,-0.2279273271560669,2.225821590374701,0.5861342549324036,0.8140615820884705,0.5967870354652405,0.05602584034204483,960,0,0,0.560207337141037,-0.030048012733459473,0.07453057914972305,0.09825071692466736,0.9231272339820862,0.14816825091838837,0.3033921420574188,,0.0496872216463089,0.2752164602279663,0.041665513068437576,0.038939304649829865,0.11163534224033356,0.03927396982908249,0.900015,0.41386571526527405,0.5424953699111938
16,13.46456527709961,20.54401969909668,-0.24562716484069824,2.320619819071489,0.5683789849281311,0.8140061497688293,0.5646837949752808,0.04372024908661842,1024,0,1,0.5505957305431366,0.005010783672332764,0.08511562645435333,0.103347547352314,0.912990927696228,0.1204884722828865,0.24396201968193054,,0.049139998853206635,0.26392924785614014,0.043184272944927216,0.04131566733121872,0.11892231553792953,0.04168060049414635,0.900016,0.4316210448741913,0.5481710433959961
17,13.438097953796387,20.179758071899414,-0.25343894958496094,2.486347416579975,0.5760498046875,0.8294887542724609,0.557540774345398,0.043714489787817,1088,0,1,0.5406996607780457,0.039591431617736816,0.0827087014913559,0.12478788197040558,0.9251614212989807,0.1715061068534851,0.3270013630390167,,0.042666997760534286,0.24264615774154663,0.051476314663887024,0.04777342826128006,0.13630931079387665,0.0483056902885437,0.9000170000000001,0.4239501655101776,0.5197327136993408
18,13.577186584472656,19.149709701538086,-0.2826692461967468,2.4727301015109884,0.5253952145576477,0.8080644607543945,0.4904528260231018,0.04908129945397377,1152,0,1,0.4884708523750305,0.06739670038223267,0.09850824624300003,0.15157759189605713,0.9135850071907043,0.13622795045375824,0.28032565116882324,,0.04283655062317848,0.21604973077774048,0.05704250931739807,0.055300984531641006,0.1679537445306778,0.05638407543301582,0.900018,0.4746047854423523,0.5693462491035461
19,13.364866256713867,19.855697631835938,-0.2313517928123474,2.231138606214374,0.5807312726974487,0.8120830655097961,0.5617989897727966,0.06284882873296738,1216,0,0,0.5408288538455963,0.04176163673400879,0.08123505115509033,0.13245369493961334,0.9273982048034668,0.17367707192897797,0.3278154730796814,,0.05198824405670166,0.2111910730600357,0.043894212692976,0.04812576621770859,0.1471499651670456,0.04812445119023323,0.900019,0.4192686676979065,0.51941978931427
20,13.353358268737793,20.234331130981445,-0.22831237316131592,2.320989668166718,0.5988532900810242,0.8271656632423401,0.569629967212677,0.05734819918870926,1280,0,1,0.5713794529438019,0.06608736515045166,0.08244305104017258,0.10397747159004211,0.9249342679977417,0.14708277583122253,0.2938941717147827,,0.04157940298318863,0.23764318227767944,0.04618348553776741,0.043442487716674805,0.12203215062618256,0.04389304295182228,0.90002,0.40114670991897583,0.5025120377540588
21,13.210041999816895,19.887224197387695,-0.2137291431427002,2.247587999318064,0.6149569749832153,0.8286861181259155,0.5894955992698669,0.040630925446748734,1344,0,0,0.6031340658664703,0.0610048770904541,0.07024974375963211,0.13519400358200073,0.9495148658752441,0.23175035417079926,0.4162822365760803,,0.04861263930797577,0.21470169723033905,0.047139182686805725,0.05274004116654396,0.1460610032081604,0.05273463577032089,0.9000210000000001,0.38504308462142944,0.4662470519542694
22,13.244000434875488,20.25918960571289,-0.20627623796463013,2.211440763254297,0.6234502792358398,0.82972651720047,0.6049037575721741,0.03482948988676071,1408,0,1,0.6217228174209595,0.044669508934020996,0.07143481075763702,0.1117241308093071,0.9417253136634827,0.1983717828989029,0.38751697540283203,,0.05184130370616913,0.21814803779125214,0.0378398522734642,0.041376855224370956,0.12750208377838135,0.041859906166791916,0.900022,0.37654969096183777,0.48270195722579956
23,13.333571434020996,20.3392333984375,-0.21949535608291626,2.3508197310627708,0.6180141568183899,0.8375095129013062,0.5988229513168335,0.02939687669277191,1472,0,0,0.6084285080432892,0.045701682567596436,0.07614683359861374,0.09785637259483337,0.9301694631576538,0.2008141130208969,0.3731343448162079,,0.048767704516649246,0.22406673431396484,0.03869783505797386,0.03670033812522888,0.1098913922905922,0.03690508380532265,0.900023,0.3819858431816101,0.4953925907611847
24,13.198433876037598,19.931663513183594,-0.21795248985290527,2.38863672958497,0.6250932216644287,0.843045711517334,0.5887005925178528,0.017292333766818047,1536,0,0,0.6145069003105164,0.08697891235351562,0.07740053534507751,0.1331397145986557,0.9494522213935852,0.27462688088417053,0.45373135805130005,,0.04173881560564041,0.19886690378189087,0.05202646180987358,0.05136118084192276,0.14387072622776031,0.051276154816150665,0.900024,0.3749067783355713,0.4544394314289093
25,13.251736640930176,19.563783645629883,-0.2313973307609558,2.3831016052687644,0.6012994647026062,0.832696795463562,0.551311194896698,0.03681262210011482,1600,0,1,0.5894460380077362,0.11056089401245117,0.07752549648284912,0.1372804343700409,0.9376917481422424,0.19484396278858185,0.4005427658557892,,0.039953961968421936,0.1849750578403473,0.04954025149345398,0.05306137353181839,0.15183809399604797,0.0539768822491169,0.9000250000000001,0.3987005352973938,0.48410657048225403
