name,tau,r2_random,r2_naive,u_temporal,u_batch,auc,top1
tau_sweep_0_03,0.03,0.7633000314235687,0.6913501024246216,0.007836619392037392,0.009949727915227413,0.889031708240509,0.7368579506874084
tau_sweep_0_05,0.05,0.725381076335907,0.6479195654392242,0.01827513799071312,0.03189104422926903,0.8858726620674133,0.7318762540817261
tau_sweep_0_07,0.07,0.6938222646713257,0.6207665205001831,0.032694555819034576,0.0639016404747963,0.89082270860672,0.7407483458518982
tau_sweep_0_10,0.1,0.6671363115310669,0.6074853539466858,0.050647445023059845,0.10279634594917297,0.8914671540260315,0.7448760271072388
tau_sweep_0_20,0.2,0.773096114397049,0.7256317436695099,0.038579970598220825,0.08497175574302673,0.8938314914703369,0.7469635605812073
