reduce,k,step_k,label,score,eff_rank,pair_cos,time_eff_rank,time_pair_cos,dim_std,readout_r,top_dir_share,cos_err_d0,auc
mean,8,20,k=8  mean  20k,,6.215775094089387,0.06499281525611877,4.520378115086073,0.39550018310546875,0.24625012278556824,0.47283069856408827,0.18638256236450676,0.18064391613006592,0.9882498979568481
mean,8,40,401 mean    k=8  bb40k,1.2433,4.19632096757653,0.08698580414056778,2.136053154607487,0.6738343238830566,0.22806432843208313,0.4287029185042954,0.2808349807441488,0.017178356647491455,0.9982494711875916
mean,8,60,k=8  mean  60k,,4.131438247521231,0.08650828152894974,2.7846450007294634,0.8809353709220886,0.2639728784561157,0.15797324049770972,0.38935828826284197,0.023880481719970703,0.9965143799781799
mean,8,80,k=8  mean  80k,,4.434878943609936,0.052709925919771194,2.0905774770184253,0.9237965941429138,0.2558794617652893,0.11504825368108282,0.37525095046028933,0.02599954605102539,0.9978156685829163
mean,8,100,k=8  mean 100k,1.2857,5.651875764936383,0.12860383093357086,2.2794758189534274,0.9321935772895813,0.2408636063337326,0.19471441402119763,0.315915423704699,0.022626876831054688,0.9975833892822266
mean,8,120,k=8  mean 120k,,6.279856333070864,0.09881609678268433,2.202468678028834,0.9299748539924622,0.25361448526382446,0.2389362597065763,0.2827014285503544,0.022826731204986572,0.9976389408111572
mean,8,140,k=8  mean 140k,,6.638783697505402,0.10503289103507996,2.274692520207059,0.9251830577850342,0.2323334813117981,0.2636204290243085,0.25554885639015706,0.02594602108001709,0.997684121131897
mean,8,160,k=8  mean 160k,,5.949052474783386,0.09186134487390518,2.1906335144905493,0.9243183135986328,0.24125245213508606,0.22537143528400722,0.29387547449116225,0.02541142702102661,0.997860848903656
mean,8,180,k=8  mean 180k,,5.863920609338494,0.08971621096134186,2.182592934107278,0.9296061396598816,0.24888335168361664,0.1750302712060114,0.2919796401302769,0.02419912815093994,0.9979247450828552
mean,8,200,k=8  mean 200k,1.2898,5.841190793499363,0.11963500827550888,2.1376457764873162,0.9308207631111145,0.25738638639450073,0.17518658374506874,0.30890962985444365,0.022951841354370117,0.9979555010795593
mean,32,20,k=32 mean  20k,,5.897359957019919,0.07055646926164627,5.856091363888004,0.19509081542491913,0.22805878520011902,0.2731546065763462,0.1719766026459806,0.35157251358032227,0.9477817416191101
mean,32,40,k=32 mean  40k,1.2082,7.78191296574029,0.08120130747556686,6.174108245816399,0.22879941761493683,0.21607808768749237,0.21987473445817352,0.14865151367667986,0.36528199911117554,0.9641112685203552
