label,k,reduce,stop_k,step_k,readout_r,top_dir_share,n_series,n_times,H,checkpoint
393 parent  k=0  bb40k,0,n/a,40,40,0.10951758173872876,0.14038809419431503,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_40k.pth
379 B5pub   k=0  bb40k,0,n/a,40,40,0.209270226842662,0.10670103518960071,21,256,64,/home/jupyter/checkpoints_backup/cf-379/runs/bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_40k.pth
401 arm     k=8  bb40k,8,sum,40,40,0.5423115083581147,0.9920633973243543,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_40k.pth
401 arm     k=8  bb100k,8,sum,100,100,0.42709080272778877,0.9998546702741561,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_100k.pth
401 arm     k=16 bb40k,16,sum,40,40,0.29046982654934217,0.9873778303261654,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_40k.pth
401 mean    k=8  bb40k,8,mean,40,40,0.4287029185042954,0.2808349807441488,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_mean_40k.pth
401 mean    k=32 bb200k,32,mean,200,200,0.49126909827780035,0.13495222887274613,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_200k.pth
k=0  step  20k,0,n/a,40,20,0.44117900268941246,0.14557596411013773,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_20k.pth
k=0  step  60k,0,n/a,100,60,0.27151626489844183,0.1513975894476538,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_60k.pth
k=0  step  80k,0,n/a,100,80,0.17766103191517624,0.14396678883921407,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_80k.pth
k=0  step 100k,0,n/a,100,100,0.14531008303086534,0.13854305562631017,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_100k.pth
k=8  step  20k,8,sum,40,20,0.13211668052846343,0.9981436699081735,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_20k.pth
k=8  step  60k,8,sum,100,60,0.22363095306823158,0.9998662989056226,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_60k.pth
k=8  step  80k,8,sum,100,80,0.42654818338119194,0.9992813407519113,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_80k.pth
k=8  step 120k,8,sum,200,120,0.7154275733129518,0.9997251511680725,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_120k.pth
k=8  step 140k,8,sum,200,140,0.27367283452950175,0.9995228310092447,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_140k.pth
k=8  step 160k,8,sum,200,160,0.2401498352680602,0.9996511890067451,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_160k.pth
k=8  step 180k,8,sum,200,180,0.5644013682551021,0.6996658479673863,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_180k.pth
k=8  step 200k,8,sum,200,200,0.6852726332077707,0.9967152026503537,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_200k.pth
k=16 step  20k,16,sum,40,20,0.39078861828485706,0.8092749291342688,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_20k.pth
k=16 step  60k,16,sum,100,60,0.6056301369774748,0.9989202120546666,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_60k.pth
k=16 step  80k,16,sum,100,80,0.4066069040290976,0.9397314781437902,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_80k.pth
k=16 step 100k,16,sum,100,100,0.42306158951154815,0.5493338849139737,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_100k.pth
k=16 step 120k,16,sum,200,120,0.2540785340825994,0.9798896951214544,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_120k.pth
k=16 step 140k,16,sum,200,140,0.4053798568396319,0.9894393655503656,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_140k.pth
k=16 step 160k,16,sum,200,160,0.26134659522066694,0.9734724722356812,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_160k.pth
k=16 step 180k,16,sum,200,180,0.667418772716554,0.9989882373672774,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_180k.pth
k=16 step 200k,16,sum,200,200,0.6052342619671687,0.9992339399983593,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_200k.pth
k=32 step  20k,32,sum,40,20,0.14941345790260321,0.6434877624004545,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_20k.pth
k=32 step  40k,32,sum,40,40,0.45402565987832866,0.8870047108324454,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_40k.pth
k=32 step  60k,32,sum,100,60,0.707941289755421,0.8992901269025941,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_60k.pth
k=32 step  80k,32,sum,100,80,0.6078940239978352,0.9948557130670601,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_80k.pth
k=32 step 100k,32,sum,100,100,0.7050766040257298,0.783076385295413,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_100k.pth
k=32 step 120k,32,sum,200,120,0.580477421147239,0.9981129754608217,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_120k.pth
k=32 step 140k,32,sum,200,140,0.610118693454538,0.9447335397636231,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_140k.pth
k=8  mean  20k,8,mean,20,20,0.47283069856408827,0.18638256236450676,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_20k/cf393_arm6_v2_combab_alignS_cf373k8_mean_20k.pth
k=8  mean  60k,8,mean,100,60,0.15797324049770972,0.38935828826284197,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_mean_60k.pth
k=8  mean  80k,8,mean,100,80,0.11504825368108282,0.37525095046028933,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_mean_80k.pth
k=8  mean 100k,8,mean,100,100,0.19471441402119763,0.315915423704699,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_mean_100k.pth
k=8  mean 120k,8,mean,200,120,0.2389362597065763,0.2827014285503544,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_120k.pth
k=8  mean 140k,8,mean,200,140,0.2636204290243085,0.25554885639015706,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_140k.pth
k=8  mean 160k,8,mean,200,160,0.22537143528400722,0.29387547449116225,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_160k.pth
k=8  mean 180k,8,mean,200,180,0.1750302712060114,0.2919796401302769,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_180k.pth
k=8  mean 200k,8,mean,200,200,0.17518658374506874,0.30890962985444365,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_200k.pth
k=32 mean  20k,32,mean,20,20,0.2731546065763462,0.1719766026459806,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_20k/cf393_arm6_v2_combab_alignS_cf373k32_mean_20k.pth
k=32 mean  40k,32,mean,40,40,0.21987473445817352,0.14865151367667986,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_mean_40k.pth
k=32 mean  60k,32,mean,100,60,0.3178916576264222,0.1338959652584865,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_60k.pth
k=32 mean  80k,32,mean,100,80,0.2796745802444865,0.14083115781230063,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_80k.pth
k=32 mean 100k,32,mean,100,100,0.4979881844981306,0.1336975631345588,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_100k.pth
k=32 mean 120k,32,mean,200,120,0.48050848172373994,0.13088810369341744,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_120k.pth
k=32 mean 140k,32,mean,200,140,0.328676177527507,0.13380256058209514,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_140k.pth
k=32 mean 160k,32,mean,200,160,0.4533642701970586,0.13806615216317897,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_160k.pth
k=32 mean 180k,32,mean,200,180,0.49592509415803865,0.1357041810728548,21,256,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_180k.pth
