label,k,reduce,stop_k,step_k,pair_cos,dim_std,eff_rank,cos_err_d0,n_series,H,checkpoint
k=8  mean 200k,8,mean,200,200,0.11963500827550888,0.25738638639450073,5.841190793499363,0.022951841354370117,21,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_mean_200k.pth
k=32 mean  20k,32,mean,20,20,0.07055646926164627,0.22805878520011902,5.897359957019919,0.35157251358032227,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_20k/cf393_arm6_v2_combab_alignS_cf373k32_mean_20k.pth
k=32 mean  40k,32,mean,40,40,0.08120130747556686,0.21607808768749237,7.78191296574029,0.36528199911117554,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_mean_40k.pth
k=32 mean  60k,32,mean,100,60,0.097919762134552,0.20072942972183228,8.01093752478607,0.43555748462677,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_60k.pth
k=32 mean  80k,32,mean,100,80,0.09953880310058594,0.19392168521881104,7.665691972146072,0.4110681414604187,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_80k.pth
k=32 mean 100k,32,mean,100,100,0.10554078221321106,0.18268774449825287,7.36362114294389,0.4223569631576538,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_mean_100k.pth
k=32 mean 120k,32,mean,200,120,0.10889143496751785,0.1748291552066803,7.406408323969454,0.44180727005004883,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_120k.pth
k=32 mean 140k,32,mean,200,140,0.10294811427593231,0.17062079906463623,7.2921296834099145,0.4536048173904419,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_140k.pth
k=32 mean 160k,32,mean,200,160,0.13053739070892334,0.16522316634655,7.170558471469856,0.4465392827987671,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_160k.pth
k=32 mean 180k,32,mean,200,180,0.0973970890045166,0.16257800161838531,7.616138298431272,0.43131405115127563,21,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_180k.pth
