label,k,stop_k,pair_cos,dim_std,eff_rank,cos_err_d0,n_series,H,checkpoint
393 parent  k=0  bb40k,0,40,0.06531168520450592,0.1695093959569931,7.221456142772299,0.32742804288864136,21,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_40k.pth
379 B5pub   k=0  bb40k,0,40,0.07939492166042328,0.16505752503871918,10.757096128671142,0.19283902645111084,21,64,/home/jupyter/checkpoints_backup/cf-379/runs/bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_40k.pth
401 arm     k=8  bb40k,8,40,1.0,0.3819938004016876,1.000013319512766,0.00015991926193237305,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_40k.pth
401 arm     k=8  bb100k,8,100,1.0,3.6947667598724365,1.000221968458027,0.00036919116973876953,21,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_100k.pth
401 arm     k=16 bb40k,16,40,0.9999984502792358,0.11779540032148361,1.0149552670895698,2.7894973754882812e-05,21,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_40k.pth
