label,k,reduce,stop_k,step_k,time_pair_cos,time_eff_rank,time_dim_std,n_series,n_times,H,checkpoint
393 parent  k=0  bb40k,0,n/a,40,40,0.17476308345794678,7.248447214994745,0.1698202703680311,21,32,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_40k.pth
379 B5pub   k=0  bb40k,0,n/a,40,40,0.4709045886993408,6.605296387450427,0.11079517148789905,21,32,64,/home/jupyter/checkpoints_backup/cf-379/runs/bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_40k.pth
401 arm     k=8  bb40k,8,sum,40,40,1.0,1.044580656103712,0.43335506603831336,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_40k.pth
401 arm     k=8  bb100k,8,sum,100,100,0.9999991059303284,1.0002278258601298,10.362747964404878,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_100k.pth
401 arm     k=16 bb40k,16,sum,40,40,0.9999977350234985,1.0445101261557994,0.13886514802773794,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_40k.pth
401 mean    k=8  bb40k,8,mean,40,40,0.6738343238830566,2.136053154607487,0.08611378818750381,21,32,64,/home/jupyter/cf401_sync/box_a/sync/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_mean_40k.pth
401 mean    k=32 bb200k,32,mean,200,200,0.16987675428390503,6.433304153183623,0.16798823859010423,21,32,64,/home/jupyter/cf401_sync/box_a/sync/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_mean_200k.pth
k=0  step  20k,0,n/a,40,20,0.16600987315177917,6.821211853757949,0.17266434076286497,21,32,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_20k.pth
k=0  step  60k,0,n/a,100,60,0.1627691090106964,7.138625809259433,0.18508500996090116,21,32,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_60k.pth
k=0  step  80k,0,n/a,100,80,0.17694328725337982,7.326133394063716,0.19285459319750467,21,32,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_80k.pth
