arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm1,2000,5000,3000,adjacent,0.743763,0.368084,0.375679,0.651634
arm1,5000,7000,2000,adjacent,0.723106,0.383384,0.339723,0.544468
arm1,2000,7000,5000,vs_first,0.878508,0.424932,0.453576,0.514230
arm1,7000,10000,3000,adjacent,0.555172,0.321627,0.233545,0.589720
arm1,2000,10000,8000,vs_first,0.895750,0.427088,0.468663,0.517855
arm1,10000,12000,2000,adjacent,0.572314,0.313394,0.258920,0.594204
arm1,2000,12000,10000,vs_first,0.912322,0.426325,0.485998,0.504321
arm1,12000,15000,3000,adjacent,0.590650,0.345115,0.245535,0.552804
arm1,2000,15000,13000,vs_first,0.920409,0.456553,0.463855,0.459751
arm1,15000,17000,2000,adjacent,0.568308,0.353667,0.214642,0.539429
arm1,2000,17000,15000,vs_first,0.941651,0.488611,0.453040,0.394960
arm1,17000,20000,3000,adjacent,0.576992,0.361307,0.215685,0.522052
arm1,2000,20000,18000,vs_first,0.957001,0.537862,0.419139,0.319370
arm1,20000,22000,2000,adjacent,0.570300,0.367900,0.202399,0.500530
arm1,2000,22000,20000,vs_first,0.962906,0.558486,0.404420,0.286069
arm1,22000,25000,3000,adjacent,0.571788,0.376189,0.195599,0.486547
arm1,2000,25000,23000,vs_first,0.961917,0.579937,0.381980,0.256829
arm3,2000,12500,10500,adjacent,0.914547,0.548845,0.365702,0.565410
arm3,12500,25000,12500,adjacent,0.923513,0.658590,0.264923,0.267926
arm3,2000,25000,23000,vs_first,0.973267,0.706419,0.266847,0.210673
arm4,2000,5000,3000,adjacent,0.874743,0.398224,0.476520,0.562275
arm4,5000,7000,2000,adjacent,0.760059,0.470860,0.289199,0.468749
arm4,2000,7000,5000,vs_first,0.903560,0.517792,0.385768,0.469604
arm4,7000,10000,3000,adjacent,0.639478,0.418251,0.221227,0.584202
arm4,2000,10000,8000,vs_first,0.920205,0.551330,0.368875,0.456432
arm4,10000,12000,2000,adjacent,0.566077,0.356090,0.209987,0.653036
arm4,2000,12000,10000,vs_first,0.922779,0.571014,0.351766,0.443783
arm4,12000,15000,3000,adjacent,0.536115,0.342929,0.193186,0.669476
arm4,2000,15000,13000,vs_first,0.932085,0.596866,0.335220,0.423952
arm4,15000,17000,2000,adjacent,0.519026,0.329165,0.189861,0.669946
arm4,2000,17000,15000,vs_first,0.937997,0.609895,0.328102,0.371724
arm4,17000,20000,3000,adjacent,0.510191,0.325742,0.184448,0.672928
arm4,2000,20000,18000,vs_first,0.947460,0.626244,0.321216,0.343030
