arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm5,45000,50000,5000,adjacent,0.929611,0.470735,0.458876,0.366174
arm5,2000,50000,48000,vs_first,0.996819,0.577595,0.419223,0.296651
arm6v2,2000,5000,3000,adjacent,0.585295,0.249780,0.335515,0.672679
arm6v2,5000,7000,2000,adjacent,0.505679,0.208262,0.297417,0.766774
arm6v2,2000,7000,5000,vs_first,0.681163,0.291454,0.389709,0.659368
arm6v2,7000,10000,3000,adjacent,0.430388,0.186855,0.243533,0.805412
arm6v2,2000,10000,8000,vs_first,0.738195,0.330340,0.407854,0.621943
arm6v2,10000,12000,2000,adjacent,0.405648,0.203196,0.202452,0.748478
arm6v2,2000,12000,10000,vs_first,0.786806,0.368663,0.418143,0.570535
arm6v2,12000,15000,3000,adjacent,0.448639,0.223995,0.224644,0.737465
arm6v2,2000,15000,13000,vs_first,0.823969,0.416810,0.407159,0.502579
arm6v2,15000,17000,2000,adjacent,0.363124,0.189632,0.173492,0.754146
arm6v2,2000,17000,15000,vs_first,0.859027,0.453966,0.405061,0.431560
arm6v2,17000,20000,3000,adjacent,0.381661,0.174674,0.206987,0.766976
arm6v2,2000,20000,18000,vs_first,0.893350,0.473689,0.419661,0.395569
arm6v2,20000,22000,2000,adjacent,0.462456,0.201516,0.260940,0.731113
arm6v2,2000,22000,20000,vs_first,0.903695,0.485469,0.418225,0.359453
arm6v2,22000,25000,3000,adjacent,0.598731,0.283878,0.314853,0.625294
arm6v2,2000,25000,23000,vs_first,0.916546,0.475958,0.440588,0.356217
arm6v2,25000,30000,5000,adjacent,0.630810,0.276485,0.354325,0.621965
arm6v2,2000,30000,28000,vs_first,0.942585,0.515574,0.427011,0.303547
arm6v2,30000,35000,5000,adjacent,0.570052,0.228747,0.341304,0.673497
arm6v2,2000,35000,33000,vs_first,0.948448,0.530438,0.418010,0.269899
arm6v2,35000,40000,5000,adjacent,0.567220,0.215858,0.351363,0.689910
arm6v2,2000,40000,38000,vs_first,0.962796,0.548964,0.413833,0.267275
arm6v2,40000,45000,5000,adjacent,0.433373,0.238158,0.195215,0.707866
arm6v2,2000,45000,43000,vs_first,0.958786,0.576397,0.382389,0.275246
arm6v2,45000,50000,5000,adjacent,0.430709,0.220104,0.210605,0.726431
arm6v2,2000,50000,48000,vs_first,0.970505,0.548700,0.421805,0.306432
bimoco,2000,5000,3000,adjacent,0.623266,0.245020,0.378245,0.683664
bimoco,5000,7000,2000,adjacent,0.537536,0.231213,0.306323,0.690797
bimoco,2000,7000,5000,vs_first,0.691003,0.297560,0.393443,0.618338
bimoco,7000,10000,3000,adjacent,0.470881,0.202234,0.268647,0.714714
bimoco,2000,10000,8000,vs_first,0.717369,0.308885,0.408484,0.617459
bimoco,10000,12000,2000,adjacent,0.464032,0.226716,0.237316,0.699684
bimoco,2000,12000,10000,vs_first,0.733178,0.317583,0.415595,0.630766
bimoco,12000,15000,3000,adjacent,0.385403,0.169467,0.215936,0.794331
bimoco,2000,15000,13000,vs_first,0.749812,0.325040,0.424772,0.629419
bimoco,15000,17000,2000,adjacent,0.556185,0.240829,0.315356,0.657469
bimoco,2000,17000,15000,vs_first,0.778019,0.355382,0.422637,0.589039
bimoco,17000,20000,3000,adjacent,0.462277,0.187166,0.275111,0.750370
bimoco,2000,20000,18000,vs_first,0.805285,0.360256,0.445029,0.600241
bimoco,20000,22000,2000,adjacent,0.417761,0.165840,0.251922,0.791734
bimoco,2000,22000,20000,vs_first,0.834678,0.365883,0.468795,0.601454
bimoco,22000,25000,3000,adjacent,0.386922,0.158368,0.228554,0.810154
bimoco,2000,25000,23000,vs_first,0.849491,0.376414,0.473077,0.592582
