arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm6v2,2000,15000,13000,vs_first,0.828351,0.401518,0.426832,0.515395
arm6v2,15000,17000,2000,adjacent,0.351154,0.182739,0.168415,0.763754
arm6v2,2000,17000,15000,vs_first,0.868978,0.436784,0.432194,0.441599
arm6v2,17000,20000,3000,adjacent,0.386492,0.177500,0.208992,0.757632
arm6v2,2000,20000,18000,vs_first,0.888856,0.464250,0.424606,0.395139
arm6v2,20000,22000,2000,adjacent,0.449486,0.197885,0.251601,0.724985
arm6v2,2000,22000,20000,vs_first,0.906527,0.470247,0.436280,0.376024
arm6v2,22000,25000,3000,adjacent,0.601376,0.279572,0.321804,0.634400
arm6v2,2000,25000,23000,vs_first,0.915408,0.465916,0.449493,0.371227
arm6v2,25000,30000,5000,adjacent,0.633938,0.275398,0.358540,0.630590
arm6v2,2000,30000,28000,vs_first,0.940678,0.494532,0.446145,0.330972
arm6v2,30000,35000,5000,adjacent,0.527793,0.226259,0.301533,0.681039
arm6v2,2000,35000,33000,vs_first,0.952765,0.508261,0.444504,0.300153
arm6v2,35000,40000,5000,adjacent,0.562614,0.223762,0.338852,0.683602
arm6v2,2000,40000,38000,vs_first,0.957250,0.531239,0.426012,0.286597
arm6v2,40000,45000,5000,adjacent,0.435204,0.236812,0.198392,0.715411
arm6v2,2000,45000,43000,vs_first,0.957990,0.563770,0.394220,0.292713
arm6v2,45000,50000,5000,adjacent,0.420613,0.207265,0.213349,0.752070
arm6v2,2000,50000,48000,vs_first,0.961583,0.548143,0.413440,0.311072
bimoco,2000,5000,3000,adjacent,0.613087,0.236734,0.376352,0.676845
bimoco,5000,7000,2000,adjacent,0.543115,0.245325,0.297789,0.660107
bimoco,2000,7000,5000,vs_first,0.694124,0.301164,0.392961,0.596295
bimoco,7000,10000,3000,adjacent,0.455470,0.207883,0.247587,0.710841
bimoco,2000,10000,8000,vs_first,0.715309,0.302352,0.412957,0.622892
bimoco,10000,12000,2000,adjacent,0.479731,0.230200,0.249531,0.705249
bimoco,2000,12000,10000,vs_first,0.726985,0.317762,0.409223,0.631864
bimoco,12000,15000,3000,adjacent,0.394419,0.172483,0.221936,0.791028
bimoco,2000,15000,13000,vs_first,0.742491,0.316953,0.425538,0.639837
bimoco,15000,17000,2000,adjacent,0.544021,0.229719,0.314302,0.686141
bimoco,2000,17000,15000,vs_first,0.776888,0.347985,0.428903,0.584267
bimoco,17000,20000,3000,adjacent,0.486657,0.189389,0.297268,0.745197
bimoco,2000,20000,18000,vs_first,0.805556,0.353252,0.452304,0.603157
bimoco,20000,22000,2000,adjacent,0.411160,0.175805,0.235355,0.785156
bimoco,2000,22000,20000,vs_first,0.823900,0.366811,0.457089,0.599679
bimoco,22000,25000,3000,adjacent,0.405418,0.161136,0.244282,0.814995
bimoco,2000,25000,23000,vs_first,0.844051,0.374471,0.469580,0.589138
